Variable,Valor
Slope,-0.0003746
YInt,1.159
Sigma,0.1543
Corr,-0.06379
PValue,0.5
FStat,0.1471
R2,0.004069
Year,Base flow
1929,0.992
1930,0.2772
1931,0.4302
1932,0.2696
1933,0.4124
1934,0.41
1935,0.4481
1959,0.5063
1960,0.4279
1961,0.3829
1962,0.4686
1963,0.3505
1964,0.5128
1965,0.3507
1966,0.4107
1967,0.369
1968,0.5504
1969,0.2921
1970,0.5408
1971,0.324
1972,0.3358
1973,0.3153
1974,0.4087
1975,0.3985
1976,0.3764
1977,0.2811
1978,0.2865
1979,0.2669
1980,0.3984
1981,0.4117
1982,0.2995
1983,0.8986
2015,0.2634
2016,0.5156
2017,0.423
2018,0.3818
2019,0.3912
2020,0.618
Mediana,0.3984
Coef. Disper.,0.3297
