Variable,Valor
Slope,0.121
YInt,-228.0
Sigma,23.64
Corr,0.09096
PValue,0.5
FStat,0.4589
R2,0.008274
Year,Hi pulse L
1948,18.5
1949,2.0
1965,4.0
1966,10.5
1967,19.0
1968,3.0
1969,3.0
1970,3.0
1971,9.5
1972,14.0
1973,5.0
1974,17.0
1975,24.0
1976,16.0
1977,2.0
1978,3.0
1979,2.5
1980,115.0
1981,35.0
1982,3.0
1983,4.0
1984,2.0
1985,5.0
1986,2.0
1987,3.0
1988,3.0
1989,6.0
1990,2.0
1991,12.0
1992,3.0
1993,10.0
1994,2.0
1995,3.0
1996,1.0
1997,2.5
1998,1.0
1999,10.5
2000,5.0
2001,6.0
2002,17.0
2003,109.0
2004,4.0
2005,6.0
2006,2.0
2007,5.0
2008,3.5
2009,6.0
2010,13.5
2011,3.0
2012,1.5
2013,5.0
2014,5.0
2015,28.0
2016,6.5
2017,22.0
2018,5.0
2019,95.5
Mediana,5.0
Coef. Disper.,1.95
