Variable,Valor
Slope,-0.11
YInt,233.8
Sigma,7.75
Corr,-0.2902
PValue,0.025
FStat,6.531
R2,0.08423
Year,July
1947,6.83
1948,29.0
1949,12.1
1950,15.7
1951,32.5
1952,12.9
1953,22.7
1954,26.2
1955,12.5
1956,15.1
1957,14.0
1958,26.6
1959,22.9
1960,15.5
1961,29.3
1962,4.97
1963,15.5
1964,9.0
1965,16.1
1966,22.9
1967,19.6
1968,6.89
1969,34.0
1970,17.4
1971,21.24
1972,14.2
1973,15.8
1974,9.79
1975,19.9
1976,2.468
1977,31.4
1978,40.2
1979,3.44
1980,17.6
1981,10.8
1982,19.4
1983,14.6
1984,20.5
1985,13.5
1986,12.4
1987,16.9
1988,6.03
1989,7.22
1990,8.36
1991,14.4
1992,13.8
1993,29.5
1994,18.1
1995,20.0
1996,4.57
1997,17.3
1998,3.68
1999,6.47
2000,13.3
2001,28.9
2002,5.07
2003,16.1
2004,20.9
2005,16.0
2006,17.3
2007,11.79
2008,17.8
2009,3.174
2010,13.0
2011,10.5
2012,11.4
2013,13.6
2014,8.39
2015,19.59
2016,6.61
2017,7.311
2018,12.5
2019,13.9
Mediana,14.6
Coef. Disper.,0.6579
