gauge_id,gauge_name,gauge_lat,gauge_lon,record_period_start,record_period_end
9400000,Rio Truful En Camino Internacional,-38.8444,-71.6536,2014-12-18,2020-03-24
9402001,Rio Allipen En Melipeuco,-38.8653,-71.7336,1985-01-17,2019-08-31
9404001,Rio Allipen En Los Laureles,-38.9833,-72.2333,1946-03-18,2019-11-10
9405001,Rio Curaco En Colico,-39.0333,-72.0833,1986-10-31,2019-03-27
9412001,Rio Trancura En Curarrehue,-39.36,-71.5808,1968-09-01,2020-04-07
9414001,Rio Trancura Antes Rio Llafenco,-39.3333,-71.7667,1970-10-01,2019-08-31
9416001,Rio Liucura En Liucura,-39.2561,-71.8244,1971-10-01,2019-04-29
9420001,Rio Tolten En Villarica,-39.2667,-72.2333,1929-03-05,2020-03-01
9423001,Rio Tolten En Coipue,-39.1,-72.3833,1929-12-16,2020-03-25
9433001,Rio Puyehue En Quitratue,-39.15,-72.6667,1947-10-07,2019-08-31
9434001,Rio Donguil En Gorbea,-39.1,-72.6833,1947-10-06,2019-08-31
9436001,Rio Mahuidanche En Santa Ana,-39.0833,-72.9333,1987-03-17,2019-04-30
9437002,Rio Tolten En Teodoro Schmidt,-39.0144,-73.0828,1991-02-12,2020-04-07
