year,month,day,tmax
1979,1,1,23.202289
1979,1,2,25.763368
1979,1,3,25.706376
1979,1,4,27.272382
1979,1,5,27.402793
1979,1,6,28.387521
1979,1,7,27.128524
1979,1,8,27.137105
1979,1,9,23.427084
1979,1,10,24.168662
1979,1,11,25.801033
1979,1,12,20.290315
1979,1,13,21.094019
1979,1,14,23.891143
1979,1,15,25.033767
1979,1,16,24.694388
1979,1,17,25.481685
1979,1,18,27.842175
1979,1,19,27.867721
1979,1,20,27.661127
1979,1,21,27.789238
1979,1,22,25.946896
1979,1,23,23.514245
1979,1,24,22.849801
1979,1,25,25.003814
1979,1,26,23.184901
1979,1,27,23.272595
1979,1,28,24.197024
1979,1,29,26.612975
1979,1,30,26.415961
1979,1,31,27.677147
1979,2,1,27.786946
1979,2,2,26.70649
1979,2,3,26.421953
1979,2,4,23.161707
1979,2,5,23.764783
1979,2,6,22.722952
1979,2,7,29.27862
1979,2,8,27.965226
1979,2,9,24.544977
1979,2,10,25.846682
1979,2,11,24.945903
1979,2,12,24.602856
1979,2,13,21.982333
1979,2,14,22.368765
1979,2,15,24.992612
1979,2,16,22.908467
1979,2,17,23.045185
1979,2,18,24.043951
1979,2,19,25.723168
1979,2,20,27.70221
1979,2,21,28.103405
1979,2,22,24.619128
1979,2,23,23.240191
1979,2,24,23.211021
1979,2,25,23.630697
1979,2,26,24.666383
1979,2,27,22.68548
1979,2,28,25.469715
1979,3,1,28.999731
1979,3,2,21.450912
1979,3,3,21.497316
1979,3,4,20.804115
1979,3,5,20.557981
1979,3,6,17.620803
1979,3,7,18.316805
1979,3,8,20.729115
1979,3,9,21.455496
1979,3,10,24.945084
1979,3,11,26.88819
1979,3,12,25.869422
1979,3,13,22.867631
1979,3,14,21.94927
1979,3,15,21.968573
1979,3,16,22.197115
1979,3,17,23.024497
1979,3,18,22.458228
1979,3,19,23.990876
1979,3,20,28.075942
1979,3,21,23.265717
1979,3,22,22.504852
1979,3,23,23.256868
1979,3,24,23.331043
1979,3,25,21.765713
1979,3,26,24.792995
1979,3,27,22.671327
1979,3,28,21.019672
1979,3,29,23.060441
1979,3,30,22.125476
1979,3,31,21.748938
1979,4,1,18.852032
1979,4,2,17.83446
1979,4,3,20.523222
1979,4,4,20.601861
1979,4,5,20.038314
1979,4,6,25.084544
1979,4,7,23.35021
1979,4,8,20.256464
1979,4,9,18.312051
1979,4,10,17.927803
1979,4,11,18.978528
1979,4,12,24.569841
1979,4,13,23.887175
1979,4,14,21.052329
1979,4,15,20.996233
1979,4,16,18.491261
1979,4,17,20.531246
1979,4,18,17.020431
1979,4,19,19.625484
1979,4,20,20.268398
1979,4,21,18.940501
1979,4,22,22.433061
1979,4,23,21.821215
1979,4,24,19.410975
1979,4,25,19.665882
1979,4,26,18.264186
1979,4,27,16.727964
1979,4,28,16.251938
1979,4,29,15.683756
1979,4,30,14.211472
1979,5,1,14.247311
1979,5,2,13.987259
1979,5,3,13.646573
1979,5,4,13.891461
1979,5,5,13.135288
1979,5,6,13.782772
1979,5,7,15.302936
1979,5,8,15.139222
1979,5,9,15.475708
1979,5,10,16.822854
1979,5,11,16.492858
1979,5,12,16.794613
1979,5,13,16.275236
1979,5,14,16.404257
1979,5,15,17.11043
1979,5,16,15.991274
1979,5,17,14.177099
1979,5,18,13.595764
1979,5,19,15.039357
1979,5,20,16.444585
1979,5,21,15.519538
1979,5,22,15.824527
1979,5,23,17.805047
1979,5,24,15.78625
1979,5,25,13.607349
1979,5,26,14.461005
1979,5,27,14.284781
1979,5,28,13.082856
1979,5,29,13.623576
1979,5,30,12.617372
1979,5,31,12.203541
1979,6,1,12.179415
1979,6,2,12.307515
1979,6,3,10.49139
1979,6,4,9.4707523
1979,6,5,10.363607
1979,6,6,10.049418
1979,6,7,12.174572
1979,6,8,12.412188
1979,6,9,11.6028
1979,6,10,11.58841
1979,6,11,11.107013
1979,6,12,10.066259
1979,6,13,11.73729
1979,6,14,12.383592
1979,6,15,10.65932
1979,6,16,13.611684
1979,6,17,13.986097
1979,6,18,12.955999
1979,6,19,11.434934
1979,6,20,9.8816967
1979,6,21,10.655298
1979,6,22,11.630652
1979,6,23,10.569636
1979,6,24,10.756429
1979,6,25,12.021777
1979,6,26,12.164699
1979,6,27,12.265365
1979,6,28,12.73444
1979,6,29,12.393398
1979,6,30,11.357443
1979,7,1,10.70558
1979,7,2,10.09612
1979,7,3,11.252611
1979,7,4,10.653966
1979,7,5,11.224241
1979,7,6,11.759334
1979,7,7,12.371875
1979,7,8,14.378209
1979,7,9,14.498868
1979,7,10,12.914702
1979,7,11,12.943584
1979,7,12,12.940186
1979,7,13,11.257658
1979,7,14,11.230623
1979,7,15,10.350436
1979,7,16,11.805756
1979,7,17,11.681302
1979,7,18,9.6070915
1979,7,19,11.150697
1979,7,20,11.157746
1979,7,21,11.055421
1979,7,22,11.659081
1979,7,23,12.159062
1979,7,24,13.142517
1979,7,25,13.901932
1979,7,26,14.084816
1979,7,27,14.89574
1979,7,28,13.888586
1979,7,29,14.554487
1979,7,30,13.460011
1979,7,31,13.071898
1979,8,1,10.344756
1979,8,2,10.998618
1979,8,3,10.975076
1979,8,4,12.313006
1979,8,5,11.508588
1979,8,6,12.259499
1979,8,7,12.443645
1979,8,8,13.715112
1979,8,9,14.188313
1979,8,10,12.893672
1979,8,11,14.426103
1979,8,12,12.761252
1979,8,13,15.946348
