year,month,day,pp
1979,1,1,0.0
1979,1,2,0.0
1979,1,3,0.0
1979,1,4,0.0
1979,1,5,0.0
1979,1,6,0.0
1979,1,7,0.0
1979,1,8,0.0
1979,1,9,0.0
1979,1,10,0.0
1979,1,11,15.211115
1979,1,12,11.986731
1979,1,13,0.0
1979,1,14,0.0
1979,1,15,0.0
1979,1,16,0.0
1979,1,17,0.0
1979,1,18,0.0
1979,1,19,0.0
1979,1,20,0.0
1979,1,21,0.0
1979,1,22,0.0
1979,1,23,0.0
1979,1,24,0.0
1979,1,25,10.851823
1979,1,26,7.3932193
1979,1,27,0.0
1979,1,28,0.0
1979,1,29,0.0
1979,1,30,0.0
1979,1,31,0.0
1979,2,1,0.0
1979,2,2,0.0
1979,2,3,9.9376852
1979,2,4,6.8418857
1979,2,5,0.0
1979,2,6,0.0
1979,2,7,0.0
1979,2,8,0.01013864
1979,2,9,0.0
1979,2,10,0.0
1979,2,11,0.0
1979,2,12,0.0
1979,2,13,8.1478593
1979,2,14,0.19326646
1979,2,15,0.0
1979,2,16,0.0
1979,2,17,0.0
1979,2,18,0.0
1979,2,19,0.0
1979,2,20,0.0
1979,2,21,0.0
1979,2,22,0.0
1979,2,23,0.0
1979,2,24,0.0
1979,2,25,0.0
1979,2,26,0.0
1979,2,27,0.0
1979,2,28,0.0
1979,3,1,0.0
1979,3,2,5.987538
1979,3,3,10.674661
1979,3,4,0.0
1979,3,5,29.039633
1979,3,6,0.17829721
1979,3,7,0.0
1979,3,8,0.0
1979,3,9,0.0
1979,3,10,0.0
1979,3,11,0.0
1979,3,12,0.0
1979,3,13,0.0
1979,3,14,0.0
1979,3,15,0.0
1979,3,16,0.0
1979,3,17,0.0
1979,3,18,0.0
1979,3,19,0.0
1979,3,20,0.0
1979,3,21,0.24406115
1979,3,22,0.0
1979,3,23,0.0
1979,3,24,0.0
1979,3,25,0.0
1979,3,26,0.0
1979,3,27,0.0
1979,3,28,5.2633675
1979,3,29,0.0
1979,3,30,0.0
1979,3,31,0.0
1979,4,1,0.0
1979,4,2,0.0
1979,4,3,0.0
1979,4,4,0.0
1979,4,5,0.0
1979,4,6,0.0
1979,4,7,0.0
1979,4,8,0.0
1979,4,9,0.0
1979,4,10,0.0
1979,4,11,0.0
1979,4,12,0.0
1979,4,13,0.0
1979,4,14,0.0
1979,4,15,0.0
1979,4,16,5.2363218
1979,4,17,0.0
1979,4,18,0.0
1979,4,19,0.0
1979,4,20,0.0
1979,4,21,0.0
1979,4,22,0.0
1979,4,23,0.0
1979,4,24,0.0
1979,4,25,0.0
1979,4,26,0.34852519
1979,4,27,23.628901
1979,4,28,14.710668
1979,4,29,1.435184
1979,4,30,7.300086
1979,5,1,39.735998
1979,5,2,6.5238456
1979,5,3,0.0
1979,5,4,0.0
1979,5,5,0.0
1979,5,6,0.0
1979,5,7,0.0
1979,5,8,0.0
1979,5,9,19.253049
1979,5,10,26.167774
1979,5,11,0.088873993
1979,5,12,14.312828
1979,5,13,9.3665393
1979,5,14,29.059312
1979,5,15,17.694888
1979,5,16,37.272444
1979,5,17,27.523869
1979,5,18,26.153101
1979,5,19,29.115018
1979,5,20,26.837369
1979,5,21,18.824292
1979,5,22,2.8096546
1979,5,23,0.0
1979,5,24,24.705058
1979,5,25,4.5904922
1979,5,26,23.151692
1979,5,27,22.54018
1979,5,28,4.2630574
1979,5,29,0.0
1979,5,30,0.0
1979,5,31,0.0
