"Description: ","Number of days when precipitation >= 30"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, r30mm, normalised (all years)
1979, 17, 0.102267160427104
1980, 20, 0.461663181356639
1981, 24, 0.940857875929354
1982, 28, 1.42005257050207
1983, 19, 0.341864507713461
1984, 28, 1.42005257050207
1985, 21, 0.581461854999818
1986, 28, 1.42005257050207
1987, 23, 0.821059202286175
1988, 22, 0.701260528642996
1989, 14, -0.257128860502432
1990, 19, 0.341864507713461
1991, 27, 1.30025389685889
1992, 27, 1.30025389685889
1993, 30, 1.65964991778842
1994, 28, 1.42005257050207
1995, 24, 0.940857875929354
1996, 23, 0.821059202286175
1997, 32, 1.89924726507478
1998, 5, -1.33531692329104
1999, 9, -0.856122228718324
2000, 11, -0.616524881431967
2001, 15, -0.137330186859253
2002, 13, -0.37692753414561
2003, 10, -0.736323555075146
2004, 8, -0.975920902361503
2005, 14, -0.257128860502432
2006, 14, -0.257128860502432
2007, 4, -1.45511559693422
2008, 9, -0.856122228718324
2009, 10, -0.736323555075146
2010, 6, -1.21551824964786
2011, 7, -1.09571957600468
2012, 10, -0.736323555075146
2013, 4, -1.45511559693422
2014, 13, -0.37692753414561
2015, 14, -0.257128860502432
2016, 5, -1.33531692329104
2017, 7, -1.09571957600468
2018, 9, -0.856122228718324
2019, 11, -0.616524881431967
2020, -99.9, -99.9
