"Description: ","Maximum monthly 1-day precipitation total"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, rx1day, normalised (all years)
1979-01, 17.6, -0.780331689748724
1979-02, 16.1, -0.828235462678889
1979-03, 12.6, -0.940010932849272
1979-04, 12.2, -0.952785272297316
1979-05, 39, -0.0969045292783774
1979-06, 30.5, -0.36835924254931
1979-07, 42, -0.00109698341804839
1979-08, 55.4, 0.426843388091421
1979-09, 55.9, 0.442811312401476
1979-10, 30.3, -0.374746412273331
1979-11, 39.9, -0.0681622655202787
1979-12, 41.2, -0.026645662314136
1980-01, 3.1, -1.24340149474031
1980-02, 57.7, 0.500295839917673
1980-03, 17.3, -0.789912444334757
1980-04, 38.5, -0.112872453588432
1980-05, 80.5, 1.22843318845617
1980-06, 49.5, 0.238421881232774
1980-07, 43.9, 0.0595811289601599
1980-08, 47, 0.1585822596825
1980-09, 13.5, -0.911268669091174
1980-10, 2.4, -1.26575658877439
1980-11, 26.3, -0.50248980675377
1980-12, 52.1, 0.321455087645059
1981-01, 70.6, 0.912268287117088
1981-02, 9.4, -1.04220564843362
1981-03, 37.8, -0.135227547622509
1981-04, 43.7, 0.0531939592361381
1981-05, 106.9, 2.07153959202707
1981-06, 78.2, 1.15498073662992
1981-07, 69.8, 0.886719608221
1981-08, 97.4, 1.76814903013603
1981-09, 124, 2.61764260343094
1981-10, 60, 0.573748291743925
1981-11, 12.4, -0.946398102573294
1981-12, 23.5, -0.591910182890077
1982-01, 58.4, 0.52265093395175
1982-02, 46.4, 0.139420750510434
1982-03, 104.2, 1.98531280075277
1982-04, 28.3, -0.438618109513551
1982-05, 73.3, 0.998495078391384
1982-06, 72.5, 0.972946399495296
1982-07, 96.2, 1.7298260117919
1982-08, 50.3, 0.263970560128862
1982-09, 63.8, 0.695104516500342
1982-10, 81.6, 1.26356262193829
1982-11, 15.7, -0.841009802126933
1982-12, 10.7, -1.00068904522748
1983-01, 17, -0.79949319892079
1983-02, 10.8, -0.99749546036547
1983-03, 26.9, -0.483328297581704
1983-04, 62.6, 0.656781498156211
1983-05, 54.9, 0.410875463781366
1983-06, 69.4, 0.873945268772957
1983-07, 84, 1.34020865862656
1983-08, 71, 0.925042626565132
1983-09, 116.6, 2.38131732364213
1983-10, 49, 0.222453956922719
1983-11, 21.5, -0.655781880130296
1983-12, 16.7, -0.809073953506823
1984-01, 13.7, -0.904881499367152
1984-02, 39.7, -0.0745494352443005
1984-03, 50.8, 0.279938484438917
1984-04, 27, -0.480134712719693
1984-05, 115.5, 2.34618789016001
1984-06, 76.6, 1.10388337883775
1984-07, 94.2, 1.66595431455168
1984-08, 25.8, -0.518457731063825
1984-09, 60.3, 0.583329046329958
1984-10, 87.1, 1.4392097893489
1984-11, 31.4, -0.339616978791211
1984-12, 16.6, -0.812267538368834
1985-01, 49.2, 0.228841126646741
1985-02, 19.7, -0.713266407646494
1985-03, 19.2, -0.729234331956549
1985-04, 79.7, 1.20288450956009
1985-05, 73.9, 1.01765658756345
1985-06, 56.7, 0.468359991297564
1985-07, 53.3, 0.359778105989191
1985-08, 36.3, -0.183131320552674
