"Description: ","Maximum 3-day precipitation total"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, rx3day, normalised (all years)
1979-01, 32, -0.687131424714708
1979-02, 21.1, -0.905825320455906
1979-03, 20, -0.927895346631624
1979-04, 43.3, -0.460412064909613
1979-05, 95.9, 0.594936459492866
1979-06, 52.5, -0.275826391439978
1979-07, 95.8, 0.592930093476891
1979-08, 113.4, 0.946050512288367
1979-09, 76.8, 0.211720550441775
1979-10, 50.9, -0.307928247695567
1979-11, 43.9, -0.448373868813767
1979-12, 74.2, 0.159555034026444
1980-01, 5.7, -1.21480568691595
1980-02, 67, 0.0150966808762946
1980-03, 31, -0.707195084874451
1980-04, 67.4, 0.0231221449401919
1980-05, 167, 2.02146269685059
1980-06, 78.4, 0.243822406697364
1980-07, 101.4, 0.705286590371452
1980-08, 130.9, 1.29716456508387
1980-09, 30.5, -0.717226914954323
1980-10, 4.00000000000003, -1.24891390918751
1980-11, 41.1, -0.504552117261048
1980-12, 74.9, 0.173599596138264
1981-01, 89.3, 0.462516302438562
1981-02, 9.40000000000003, -1.1405701443249
1981-03, 77, 0.215733282473724
1981-04, 54.5, -0.235699071120492
1981-05, 199.2, 2.66751255399431
1981-06, 102.1, 0.719331152483272
1981-07, 116.9, 1.01627332284747
1981-08, 113.7, 0.95206961033629
1981-09, 124, 1.15872530998164
1981-10, 62, -0.0852216199224201
1981-11, 20.3, -0.921876248583701
1981-12, 39.7, -0.532641241484688
1982-01, 58.4, -0.157450796497495
1982-02, 49.9, -0.32799190785531
1982-03, 116.9, 1.01627332284747
1982-04, 46.4, -0.39821471841441
1982-05, 101.4, 0.705286590371452
1982-06, 179.3, 2.26824571681543
1982-07, 167.7, 2.03550725896241
1982-08, 78, 0.235796942633467
1982-09, 110.4, 0.885859531809138
1982-10, 132.7, 1.33327915337141
1982-11, 31.1000000000001, -0.705188718858475
1982-12, 21.7, -0.893787124360061
1983-01, 27.7, -0.773405163401603
1983-02, 11.2, -1.10445555603736
1983-03, 36.4, -0.598851320011839
1983-04, 71.6000000000001, 0.107389517611114
1983-05, 101.9, 0.715318420451323
1983-06, 106.9, 0.815636721250038
1983-07, 125.4, 1.18681443420528
1983-08, 81.9, 0.314045217256465
1983-09, 204.5, 2.77384995284095
1983-10, 66.3, 0.00105211876447451
1983-11, 25.9, -0.80951975168914
1983-12, 28.3, -0.761366967305757
1984-01, 19.4, -0.939933542727469
1984-02, 39.7, -0.532641241484688
1984-03, 88.3, 0.442452642278819
1984-04, 79.8, 0.271911530921004
1984-05, 222.2, 3.1289767376684
1984-06, 147.4, 1.62821495771963
1984-07, 198.2, 2.64744889383457
1984-08, 46.4, -0.39821471841441
1984-09, 78.4, 0.243822406697364
1984-10, 100.3, 0.683216564195735
1984-11, 46.8, -0.390189254350513
1984-12, 26.1, -0.805507019657192
1985-01, 49.6, -0.334011005903233
1985-02, 28.4, -0.759360601289783
1985-03, 37.9, -0.568755829772225
1985-04, 137.8, 1.4356038201861
1985-05, 175.9, 2.2000292722723
1985-06, 58.9, -0.147418966417623
1985-07, 99.2, 0.661146538020017
1985-08, 57.4, -0.177514456657238
1985-09, 117.1, 1.02028605487942
1985-10, 53.4, -0.257769097296209
1985-11, 46.1, -0.404233816462333
1985-12, 32, -0.687131424714708
1986-01, 33.4, -0.659042300491068
1986-02, 106.2, 0.801592159138218
1986-03, 114.6, 0.970126904480058
1986-04, 137.2, 1.42356562409025
1986-05, 154.5, 1.7706669448538
1986-06, 92.6, 0.528726380965714
1986-07, 43.5, -0.456399332877664
1986-08, 121.6, 1.11057252559826
1986-09, 68.6, 0.0471985371318832
1986-10, 62.1, -0.0832152539064458
1986-11, 251.2, 3.71082288230094
1986-12, 52.5, -0.275826391439978
1987-01, 9.8, -1.132544680261
1987-02, 41.7, -0.492513921165202
1987-03, 132.8, 1.33528551938738
1987-04, 37.5, -0.576781293836122
1987-05, 104.4, 0.765477570850681
1987-06, 62.3, -0.0792025218744973
1987-07, 125.8, 1.19483989826918
1987-08, 106.7, 0.811623989218089
1987-09, 60.5, -0.115317110162034
1987-10, 103.3, 0.743407544674963
1987-11, 50.4, -0.317960077775438
1987-12, 34.7, -0.632959542283402
1988-01, 72.3, 0.121434079722932
1988-02, 15.6, -1.01617545133449
1988-03, 40.5, -0.516590313356893
1988-04, 66.3, 0.00105211876447451
1988-05, 100.3, 0.683216564195735
1988-06, 151.2, 1.70445686632665
1988-07, 106.6, 0.809617623202115
1988-08, 92.8, 0.532739112997662
1988-09, 30.3, -0.721239646986271
1988-10, 57.9, -0.167482626577366
1988-11, 20.8, -0.911844418503829
1988-12, 70.7, 0.0893322234673436
1989-01, 32.1, -0.685125058698734
1989-02, 26.8, -0.791462457545372
1989-03, 28.2, -0.763373333321731
1989-04, 34, -0.647004104395222
1989-05, 37, -0.586813123915994
1989-06, 173.7, 2.15588921992087
1989-07, 123.4, 1.1466871138858
1989-08, 78.4, 0.243822406697364
1989-09, 76.2, 0.19968235434593
1989-10, 64.7, -0.0310497374911141
1989-11, 28.6, -0.755347869257834
1989-12, 99.3, 0.663152904035992
1990-01, 15.7, -1.01416908531852
1990-02, 66, -0.00496697928344832
1990-03, 149.9, 1.67837410811898
1990-04, 143.6, 1.5519730491126
1990-05, 167.6, 2.03350089294643
1990-06, 72.8, 0.131465909802804
1990-07, 81.5, 0.306019753192567
1990-08, 72, 0.115414981675009
1990-09, 121.4, 1.10655979356631
1990-10, 57.4, -0.177514456657238
1990-11, 36, -0.606876784075737
1990-12, 20.3, -0.921876248583701
1991-01, 20.2, -0.923882614599675
1991-02, 16.8, -0.992099059142801
1991-03, 75.4, 0.183631426218135
1991-04, 59.9, -0.12735530625788
1991-05, 208.9, 2.86213005754382
1991-06, 74.9, 0.173599596138264
1991-07, 150.2, 1.68439320616691
1991-08, 142.1, 1.52187755887299
1991-09, 58.3, -0.159457162513469
1991-10, 85.8, 0.392293491879462
1991-11, 81.6, 0.308026119208541
1991-12, 172.1, 2.12378736366528
1992-01, 21.5, -0.897799856392009
1992-02, 26.6, -0.79547518957732
1992-03, 113.3, 0.944044146272393
1992-04, 119.5, 1.0684388392628
1992-05, 245.8, 3.60247911743833
1992-06, 127.9, 1.23697358460464
1992-07, 57.6, -0.173501724625289
1992-08, 66.2, -0.000954247251499672
1992-09, 179.8, 2.2782775468953
1992-10, 83.6, 0.348153439528027
1992-11, 51.5, -0.295890051599721
1992-12, 69.1, 0.0572303672117547
1993-01, 10.6, -1.11649375213321
1993-02, 13, -1.06834096774982
1993-03, 75.7, 0.189650524266058
1993-04, 115.4, 0.986177832607853
1993-05, 210.3, 2.89021918176746
1993-06, 225.9, 3.20321228025945
1993-07, 182.5, 2.3324494293266
1993-08, 158.1, 1.84289612142888
1993-09, 61.9, -0.0872279859383944
1993-10, 74.5000000000001, 0.165574132074369
1993-11, 154.6, 1.77267331086978
1993-12, 138.8, 1.45566748034584
1994-01, 18.5000000000001, -0.957990836871236
1994-02, 18.7000000000001, -0.953978104839287
1994-03, 39.7000000000001, -0.532641241484686
1994-04, 108, 0.837706747425755
1994-05, 56.6000000000001, -0.19356538478503
1994-06, 121.7, 1.11257889161423
1994-07, 180.7, 2.29633484103907
1994-08, 99.7, 0.671178368099889
1994-09, 83.4, 0.344140707496079
1994-10, 70.4, 0.0833131254194207
1994-11, 74.3000000000001, 0.16156140004242
1994-12, 131.7, 1.31321549321166
1995-01, 34.8, -0.630953176267428
1995-02, 21.5, -0.897799856392009
