"Description: ","Annual number of days when TM >= 5 degrees_C"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, tmge5, normalised (all years)
1979, 303, 0.406580858254129
1980, 295, -0.122619623917914
1981, 307, 0.67118109934015
1982, 308, 0.737331159611656
1983, 285, -0.784120226632967
1984, 264, -2.17327149233458
1985, 326, 1.92803224449875
1986, 310, 0.869631280154666
1987, 309, 0.803481219883161
1988, 292, -0.32106980473243
1989, 310, 0.869631280154666
1990, 307, 0.67118109934015
1991, 294, -0.188769684189419
1992, 266, -2.04097137179157
1993, 277, -1.31332070880501
1994, 298, 0.0758305568966024
1995, 287, -0.651820106089956
1996, 307, 0.67118109934015
1997, 304, 0.472730918525634
1998, 312, 1.00193140069768
1999, 299, 0.141980617168108
2000, 281, -1.04872046771899
2001, 290, -0.45336992527544
2002, 292, -0.32106980473243
2003, 313, 1.06808146096918
2004, 315, 1.20038158151219
2005, 277, -1.31332070880501
2006, 309, 0.803481219883161
2007, 268, -1.90867125124856
2008, 296, -0.0564695636464083
2009, 286, -0.717970166361461
2010, 284, -0.850270286904472
2011, 288, -0.585670045818451
2012, 305, 0.53888097879714
2013, 298, 0.0758305568966024
2014, 310, 0.869631280154666
2015, 297, 0.00968049662509705
2016, 330, 2.19263248558477
2017, 278, -1.2471706485335
2018, 297, 0.00968049662509705
2019, 297, 0.00968049662509705
2020, -99.9, -99.9
