"Description: ","Monthly number of days when TM >= 5 degrees_C"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, tmge5, normalised (all years)
1979-01, 31, 0.807224861012933
1979-02, 28, 0.417746717956109
1979-03, 31, 0.807224861012933
1979-04, 30, 0.677398813327325
1979-05, 27, 0.287920670270501
1979-06, 11, -1.78929609269922
1979-07, 17, -1.01033980658558
1979-08, 22, -0.361209568157538
1979-09, 19, -0.750687711214361
1979-10, 26, 0.158094622584894
1979-11, 30, 0.677398813327325
1979-12, 31, 0.807224861012933
1980-01, 31, 0.807224861012933
1980-02, 29, 0.547572765641717
1980-03, 31, 0.807224861012933
1980-04, 21, -0.491035615843146
1980-05, 28, 0.417746717956109
1980-06, 13, -1.52964399732801
1980-07, 11, -1.78929609269922
1980-08, 18, -0.880513758899969
1980-09, 25, 0.0282685748992857
1980-10, 28, 0.417746717956109
1980-11, 29, 0.547572765641717
1980-12, 31, 0.807224861012933
1981-01, 31, 0.807224861012933
1981-02, 28, 0.417746717956109
1981-03, 31, 0.807224861012933
1981-04, 30, 0.677398813327325
1981-05, 27, 0.287920670270501
1981-06, 17, -1.01033980658558
1981-07, 19, -0.750687711214361
1981-08, 17, -1.01033980658558
1981-09, 18, -0.880513758899969
1981-10, 28, 0.417746717956109
1981-11, 30, 0.677398813327325
1981-12, 31, 0.807224861012933
1982-01, 31, 0.807224861012933
1982-02, 28, 0.417746717956109
1982-03, 31, 0.807224861012933
1982-04, 30, 0.677398813327325
1982-05, 29, 0.547572765641717
1982-06, 7, -2.30860028344166
1982-07, 14, -1.3998179496424
1982-08, 19, -0.750687711214361
1982-09, 30, 0.677398813327325
1982-10, 29, 0.547572765641717
1982-11, 29, 0.547572765641717
1982-12, 31, 0.807224861012933
1983-01, 31, 0.807224861012933
1983-02, 28, 0.417746717956109
1983-03, 31, 0.807224861012933
1983-04, 30, 0.677398813327325
1983-05, 25, 0.0282685748992857
1983-06, 4, -2.69807842649848
1983-07, 4, -2.69807842649848
1983-08, 20, -0.620861663528753
1983-09, 20, -0.620861663528753
1983-10, 31, 0.807224861012933
1983-11, 30, 0.677398813327325
1983-12, 31, 0.807224861012933
1984-01, 31, 0.807224861012933
1984-02, 29, 0.547572765641717
1984-03, 31, 0.807224861012933
1984-04, 30, 0.677398813327325
1984-05, 6, -2.43842633112726
1984-06, 2, -2.95773052186969
1984-07, 5, -2.56825237881287
1984-08, 15, -1.26999190195679
1984-09, 27, 0.287920670270501
1984-10, 27, 0.287920670270501
1984-11, 30, 0.677398813327325
1984-12, 31, 0.807224861012933
1985-01, 31, 0.807224861012933
1985-02, 28, 0.417746717956109
1985-03, 31, 0.807224861012933
1985-04, 25, 0.0282685748992857
1985-05, 25, 0.0282685748992857
1985-06, 29, 0.547572765641717
1985-07, 20, -0.620861663528753
1985-08, 19, -0.750687711214361
1985-09, 26, 0.158094622584894
1985-10, 31, 0.807224861012933
1985-11, 30, 0.677398813327325
1985-12, 31, 0.807224861012933
1986-01, 31, 0.807224861012933
1986-02, 28, 0.417746717956109
1986-03, 31, 0.807224861012933
1986-04, 30, 0.677398813327325
1986-05, 23, -0.23138352047193
1986-06, 13, -1.52964399732801
1986-07, 21, -0.491035615843146
1986-08, 19, -0.750687711214361
1986-09, 22, -0.361209568157538
1986-10, 31, 0.807224861012933
1986-11, 30, 0.677398813327325
1986-12, 31, 0.807224861012933
1987-01, 31, 0.807224861012933
1987-02, 28, 0.417746717956109
1987-03, 31, 0.807224861012933
1987-04, 30, 0.677398813327325
1987-05, 21, -0.491035615843146
1987-06, 19, -0.750687711214361
1987-07, 21, -0.491035615843146
1987-08, 14, -1.3998179496424
1987-09, 22, -0.361209568157538
1987-10, 31, 0.807224861012933
1987-11, 30, 0.677398813327325
1987-12, 31, 0.807224861012933
1988-01, 31, 0.807224861012933
1988-02, 29, 0.547572765641717
1988-03, 31, 0.807224861012933
1988-04, 30, 0.677398813327325
1988-05, 27, 0.287920670270501
1988-06, 13, -1.52964399732801
1988-07, 7, -2.30860028344166
1988-08, 11, -1.78929609269922
1988-09, 24, -0.101557472786322
1988-10, 28, 0.417746717956109
1988-11, 30, 0.677398813327325
1988-12, 31, 0.807224861012933
1989-01, 31, 0.807224861012933
1989-02, 28, 0.417746717956109
1989-03, 31, 0.807224861012933
1989-04, 27, 0.287920670270501
1989-05, 27, 0.287920670270501
1989-06, 28, 0.417746717956109
1989-07, 12, -1.65947004501362
1989-08, 13, -1.52964399732801
1989-09, 22, -0.361209568157538
1989-10, 30, 0.677398813327325
1989-11, 30, 0.677398813327325
1989-12, 31, 0.807224861012933
1990-01, 31, 0.807224861012933
1990-02, 28, 0.417746717956109
1990-03, 31, 0.807224861012933
1990-04, 30, 0.677398813327325
1990-05, 25, 0.0282685748992857
1990-06, 15, -1.26999190195679
1990-07, 13, -1.52964399732801
1990-08, 21, -0.491035615843146
1990-09, 26, 0.158094622584894
1990-10, 28, 0.417746717956109
1990-11, 28, 0.417746717956109
1990-12, 31, 0.807224861012933
1991-01, 31, 0.807224861012933
1991-02, 28, 0.417746717956109
1991-03, 31, 0.807224861012933
1991-04, 28, 0.417746717956109
1991-05, 24, -0.101557472786322
1991-06, 17, -1.01033980658558
1991-07, 7, -2.30860028344166
1991-08, 15, -1.26999190195679
1991-09, 27, 0.287920670270501
1991-10, 25, 0.0282685748992857
1991-11, 30, 0.677398813327325
1991-12, 31, 0.807224861012933
1992-01, 31, 0.807224861012933
1992-02, 29, 0.547572765641717
1992-03, 31, 0.807224861012933
1992-04, 24, -0.101557472786322
1992-05, 19, -0.750687711214361
1992-06, 5, -2.56825237881287
1992-07, 2, -2.95773052186969
1992-08, 21, -0.491035615843146
1992-09, 22, -0.361209568157538
1992-10, 24, -0.101557472786322
1992-11, 27, 0.287920670270501
1992-12, 31, 0.807224861012933
1993-01, 31, 0.807224861012933
1993-02, 28, 0.417746717956109
1993-03, 31, 0.807224861012933
1993-04, 30, 0.677398813327325
1993-05, 12, -1.65947004501362
1993-06, 15, -1.26999190195679
1993-07, 4, -2.69807842649848
1993-08, 16, -1.14016585427118
1993-09, 23, -0.23138352047193
1993-10, 27, 0.287920670270501
1993-11, 29, 0.547572765641717
1993-12, 31, 0.807224861012933
