"Description: ","Heatwave definitions and aspects"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, HWM, HWA, HWN, HWD, HWF
1979, 10.6666666666667, 12, 3, 3, 9
1980, 10.625, 12, 1, 4, 4
1981, 10.45, 11.3, 1, 4, 4
1982, 10.1458333333333, 11.6, 4, 4, 13
1983, 8.86666666666667, 10.9, 3, 3, 9
1984, -99.9, -99.9, 0, -99.9, 0
1985, 9.73375, 11.1, 2, 8, 13
1986, 11.6333333333333, 12.6, 1, 3, 3
1987, 8.45, 9.2, 1, 4, 4
1988, -99.9, -99.9, 0, -99.9, 0
1989, 10.6666666666667, 12.4, 2, 4, 7
1990, 9.575, 10.6, 1, 4, 4
1991, 11.0125, 11.4, 2, 4, 8
1992, -99.9, -99.9, 0, -99.9, 0
1993, -99.9, -99.9, 0, -99.9, 0
1994, -99.9, -99.9, 0, -99.9, 0
1995, 11.08, 12.3, 1, 5, 5
1996, 9.6875, 11.5, 2, 4, 7
1997, 9.05, 9.2, 1, 4, 4
1998, 9.775, 10.9, 1, 4, 4
1999, -99.9, -99.9, 0, -99.9, 0
2000, -99.9, -99.9, 0, -99.9, 0
2001, 9.1, 10.2, 1, 4, 4
2002, 11.025, 11.6, 1, 4, 4
2003, -99.9, -99.9, 0, -99.9, 0
2004, 11.26, 11.7, 1, 5, 5
2005, 10.35, 13.3, 2, 7, 10
2006, -99.9, -99.9, 0, -99.9, 0
2007, 10.76875, 13.1, 4, 4, 15
2008, 9.76944444444445, 11.6, 3, 8, 14
2009, 10.9, 11, 1, 3, 3
2010, 11.325, 13.2, 1, 4, 4
2011, 10.2469444444444, 13.6, 6, 5, 22
2012, 11.49375, 14.6, 4, 5, 19
2013, -99.9, -99.9, 0, -99.9, 0
2014, -99.9, -99.9, 0, -99.9, 0
2015, 12.1, 12.5, 1, 3, 3
2016, 9.68666666666667, 13.4, 5, 8, 21
2017, 9.4, 9.7, 1, 3, 3
2018, 11.95, 12.8, 1, 4, 4
2019, 9.08333333333333, 11.9, 2, 3, 6
2020, -99.9, -99.9, -99.9, -99.9, -99.9
