"Description: ","Monthly number of days when TN < -2 degrees_C"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, tnltm2, normalised (all years)
1979-01, 0, -0.565555277859047
1979-02, 0, -0.565555277859047
1979-03, 0, -0.565555277859047
1979-04, 0, -0.565555277859047
1979-05, 1, -0.24751058645532
1979-06, 10, 2.61489163617823
1979-07, 2, 0.0705341049484072
1979-08, 1, -0.24751058645532
1979-09, 6, 1.34271287056332
1979-10, 0, -0.565555277859047
1979-11, 0, -0.565555277859047
1979-12, 0, -0.565555277859047
1980-01, 0, -0.565555277859047
1980-02, 0, -0.565555277859047
1980-03, 0, -0.565555277859047
1980-04, 0, -0.565555277859047
1980-05, 0, -0.565555277859047
1980-06, 5, 1.02466817915959
1980-07, 10, 2.61489163617823
1980-08, 0, -0.565555277859047
1980-09, 1, -0.24751058645532
1980-10, 2, 0.0705341049484072
1980-11, 1, -0.24751058645532
1980-12, 0, -0.565555277859047
1981-01, 0, -0.565555277859047
1981-02, 0, -0.565555277859047
1981-03, 0, -0.565555277859047
1981-04, 0, -0.565555277859047
1981-05, 1, -0.24751058645532
1981-06, 2, 0.0705341049484072
1981-07, 4, 0.706623487755862
1981-08, 5, 1.02466817915959
1981-09, 6, 1.34271287056332
1981-10, 1, -0.24751058645532
1981-11, 0, -0.565555277859047
1981-12, 0, -0.565555277859047
1982-01, 0, -0.565555277859047
1982-02, 0, -0.565555277859047
1982-03, 0, -0.565555277859047
1982-04, 0, -0.565555277859047
1982-05, 0, -0.565555277859047
1982-06, 11, 2.93293632758195
1982-07, 5, 1.02466817915959
1982-08, 1, -0.24751058645532
1982-09, 0, -0.565555277859047
1982-10, 0, -0.565555277859047
1982-11, 0, -0.565555277859047
1982-12, 0, -0.565555277859047
1983-01, 0, -0.565555277859047
1983-02, 0, -0.565555277859047
1983-03, 0, -0.565555277859047
1983-04, 0, -0.565555277859047
1983-05, 1, -0.24751058645532
1983-06, 10, 2.61489163617823
1983-07, 10, 2.61489163617823
1983-08, 4, 0.706623487755862
1983-09, 5, 1.02466817915959
1983-10, 0, -0.565555277859047
1983-11, 0, -0.565555277859047
1983-12, 0, -0.565555277859047
1984-01, 0, -0.565555277859047
1984-02, 0, -0.565555277859047
1984-03, 0, -0.565555277859047
1984-04, 0, -0.565555277859047
1984-05, 2, 0.0705341049484072
1984-06, 16, 4.52315978460059
1984-07, 6, 1.34271287056332
