"Description: ","Monthly coldest daily TN"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, tnn, normalised (all years)
1979-01, 2.8, 1.33956729598255
1979-02, 3.2, 1.47489503747801
1979-03, 0.6, 0.595264717757509
1979-04, 0.3, 0.493768911635913
1979-05, -2.3, -0.385861408084591
1979-06, -4.2, -1.02866818018804
1979-07, -4.5, -1.13016398630963
1979-08, -2.3, -0.385861408084591
1979-09, -3.3, -0.724180761823247
1979-10, -0.6, 0.189281493271123
1979-11, -1.6, -0.149037860467533
1979-12, 1, 0.730592459252971
1980-01, 2.4, 1.20423955448709
1980-02, 1.6, 0.933584071496165
1980-03, 3, 1.40723116673028
1980-04, -1.3, -0.0475420543459361
1980-05, -1.5, -0.115205925093667
1980-06, -6, -1.63764301691762
1980-07, -6.6, -1.84063462916081
1980-08, -2, -0.284365601962995
1980-09, -2.1, -0.31819753733686
1980-10, -2.4, -0.419693343458457
1980-11, -3.1, -0.656516891075516
1980-12, -0.4, 0.256945364018854
1981-01, 2.2, 1.13657568373936
1981-02, 3.5, 1.57639084359961
1981-03, -0.1, 0.35844117014045
1981-04, 0.2, 0.459936976262047
1981-05, -4.1, -0.994836244814171
1981-06, -5.1, -1.33315559855283
1981-07, -3.3, -0.724180761823247
1981-08, -3.8, -0.893340438692574
1981-09, -4.1, -0.994836244814171
1981-10, -2.3, -0.385861408084591
1981-11, -0.7, 0.155449557897257
1981-12, 1.3, 0.832088265374568
1982-01, 2.3, 1.17040761911322
1982-02, 2.3, 1.17040761911322
1982-03, -0.2, 0.324609234766585
1982-04, 0.5, 0.561432782383644
1982-05, -0.8, 0.121617622523392
1982-06, -5.3, -1.40081946930056
1982-07, -5.6, -1.50231527542215
1982-08, -2.1, -0.31819753733686
1982-09, -0.6, 0.189281493271123
1982-10, -1.1, 0.020121816401795
1982-11, -0.3, 0.290777299392719
1982-12, 2.1, 1.10274374836549
1983-01, 4.7, 1.982374068086
1983-02, 2.6, 1.27190342523482
1983-03, 1.2, 0.798256330000702
1983-04, 0.9, 0.696760523879106
1983-05, -2.1, -0.31819753733686
1983-06, -5.1, -1.33315559855283
1983-07, -3.6, -0.825676567944843
1983-08, -3.2, -0.690348826449381
1983-09, -4.3, -1.0625001155619
1983-10, 0.6, 0.595264717757509
1983-11, 2.3, 1.17040761911322
1983-12, 4.4, 1.8808782619644
1984-01, 3.7, 1.64405471434734
1984-02, 2, 1.06891181299163
1984-03, 2.3, 1.17040761911322
1984-04, -1, 0.0539537517756605
1984-05, -3.3, -0.724180761823247
1984-06, -5.6, -1.50231527542215
1984-07, -4.8, -1.23165979243123
1984-08, -4.4, -1.09633205093577
1984-09, -1.2, -0.0137101189720705
1984-10, -0.7, 0.155449557897257
1984-11, -0.6, 0.189281493271123
1984-12, 1.6, 0.933584071496165
1985-01, 2.9, 1.37339923135642
1985-02, 2.9, 1.37339923135642
1985-03, 1.8, 1.0012479422439
1985-04, -2.1, -0.31819753733686
1985-05, -2.7, -0.521189149580054
1985-06, -1.2, -0.0137101189720705
1985-07, -4.7, -1.19782785705736
1985-08, -3.1, -0.656516891075516
1985-09, -4.8, -1.23165979243123
1985-10, 0.1, 0.426105040888181
1985-11, -0.2, 0.324609234766585
1985-12, 1, 0.730592459252971
1986-01, 2.3, 1.17040761911322
1986-02, 2.6, 1.27190342523482
1986-03, 1, 0.730592459252971
1986-04, 1.4, 0.865920200748433
1986-05, -1.8, -0.216701731215264
1986-06, -5, -1.29932366317896
1986-07, -4.2, -1.02866818018804
1986-08, -2.4, -0.419693343458457
1986-09, -4.6, -1.1639959216835
1986-10, -0.2, 0.324609234766585
1986-11, -0.3, 0.290777299392719
1986-12, 1.5, 0.899752136122299
1987-01, 3, 1.40723116673028
1987-02, 0.7, 0.629096653131375
1987-03, 2.8, 1.33956729598255
1987-04, 0.7, 0.629096653131375
1987-05, -2.6, -0.487357214206188
1987-06, -8, -2.31428172439493
1987-07, -5.8, -1.56997914616989
1987-08, -5.2, -1.36698753392669
1987-09, -2, -0.284365601962995
1987-10, -0.6, 0.189281493271123
1987-11, 0.4, 0.527600847009778
1987-12, 1.2, 0.798256330000702
1988-01, 0.8, 0.66292858850524
1988-02, 4.1, 1.7793824558428
1988-03, -0.4, 0.256945364018854
1988-04, -0.6, 0.189281493271123
1988-05, -2.7, -0.521189149580054
1988-06, -4.4, -1.09633205093577
1988-07, -7.6, -2.17895398289946
1988-08, -5, -1.29932366317896
1988-09, -4.7, -1.19782785705736
1988-10, -2.4, -0.419693343458457
1988-11, 0.6, 0.595264717757509
1988-12, 1.3, 0.832088265374568
1989-01, 2.6, 1.27190342523482
1989-02, 5.1, 2.11770180958146
1989-03, 1.1, 0.764424394626837
1989-04, -3.1, -0.656516891075516
1989-05, -2.1, -0.31819753733686
1989-06, -2.1, -0.31819753733686
1989-07, -5.9, -1.60381108154375
1989-08, -3.7, -0.859508503318709
1989-09, -3.2, -0.690348826449381
1989-10, 0.1, 0.426105040888181
1989-11, 0.4, 0.527600847009778
1989-12, 0.6, 0.595264717757509
1990-01, 2, 1.06891181299163
1990-02, 4.4, 1.8808782619644
1990-03, -0.5, 0.223113428644988
1990-04, -0.3, 0.290777299392719
1990-05, -3.9, -0.92717237406644
1990-06, -6.4, -1.77297075841308
1990-07, -5.7, -1.53614721079602
1990-08, -5.7, -1.53614721079602
1990-09, -5.6, -1.50231527542215
1990-10, -2.1, -0.31819753733686
1990-11, -0.7, 0.155449557897257
1990-12, 0.8, 0.66292858850524
1991-01, 2.2, 1.13657568373936
1991-02, 2.1, 1.10274374836549
1991-03, 1.9, 1.03507987761776
1991-04, -0.8, 0.121617622523392
1991-05, -4.2, -1.02866818018804
1991-06, -6.1, -1.67147495229148
1991-07, -4.3, -1.0625001155619
1991-08, -6.3, -1.73913882303921
1991-09, -1.2, -0.0137101189720705
1991-10, -2.9, -0.588853020327785
1991-11, 2.3, 1.17040761911322
1991-12, 0.8, 0.66292858850524
1992-01, 2.8, 1.33956729598255
1992-02, 1.3, 0.832088265374568
1992-03, 4.4, 1.8808782619644
1992-04, -1.5, -0.115205925093667
1992-05, -6.2, -1.70530688766535
1992-06, -6, -1.63764301691762
1992-07, -6.3, -1.73913882303921
1992-08, -6.5, -1.80680269378694
1992-09, -4.2, -1.02866818018804
1992-10, -2.6, -0.487357214206188
1992-11, -2.4, -0.419693343458457
1992-12, 2.5, 1.23807148986095
1993-01, 2.2, 1.13657568373936
1993-02, 2.8, 1.33956729598255
1993-03, 1.7, 0.96741600687003
1993-04, 1.1, 0.764424394626837
1993-05, -6.6, -1.84063462916081
1993-06, -2, -0.284365601962995
1993-07, -5.5, -1.46848334004829
1993-08, -5.3, -1.40081946930056
1993-09, -3.9, -0.92717237406644
1993-10, -1.3, -0.0475420543459361
1993-11, -0.9, 0.0877856871495261
1993-12, 1.3, 0.832088265374568
1994-01, 4.2, 1.81321439121667
1994-02, 2.2, 1.13657568373936
1994-03, 0.4, 0.527600847009778
1994-04, -2, -0.284365601962995
1994-05, -1.8, -0.216701731215264
1994-06, -3.4, -0.758012697197112
1994-07, -3.2, -0.690348826449381
1994-08, -3.5, -0.791844632570978
1994-09, -1.8, -0.216701731215264
1994-10, -0.3, 0.290777299392719
1994-11, 0.2, 0.459936976262047
1994-12, 1.8, 1.0012479422439
1995-01, 1.5, 0.899752136122299
1995-02, 2.1, 1.10274374836549
1995-03, 1.4, 0.865920200748433
1995-04, -0.8, 0.121617622523392
1995-05, -0.5, 0.223113428644988
1995-06, -5.3, -1.40081946930056
1995-07, -8.1, -2.34811365976879
1995-08, -6.4, -1.77297075841308
1995-09, -2.2, -0.352029472710726
1995-10, -3.3, -0.724180761823247
1995-11, 0.4, 0.527600847009778
1995-12, 3.4, 1.54255890822574
1996-01, 1.1, 0.764424394626837
1996-02, 1.4, 0.865920200748433
1996-03, 1.9, 1.03507987761776
1996-04, -0.1, 0.35844117014045
1996-05, -4.5, -1.13016398630963
1996-06, -6.4, -1.77297075841308
1996-07, -2.1, -0.31819753733686
1996-08, -5.8, -1.56997914616989
1996-09, -2.9, -0.588853020327785
1996-10, -1.2, -0.0137101189720705
1996-11, -0.7, 0.155449557897257
1996-12, 2.4, 1.20423955448709
1997-01, 2.6, 1.27190342523482
1997-02, 0.4, 0.527600847009778
1997-03, 1.9, 1.03507987761776
1997-04, 0.5, 0.561432782383644
1997-05, -3.4, -0.758012697197112
1997-06, -2.7, -0.521189149580054
1997-07, -2.5, -0.453525278832322
1997-08, -5.2, -1.36698753392669
1997-09, -2.8, -0.555021084953919
1997-10, -3.9, -0.92717237406644
1997-11, 1.9, 1.03507987761776
1997-12, 2.3, 1.17040761911322
1998-01, 1.3, 0.832088265374568
1998-02, 3.5, 1.57639084359961
1998-03, 1.4, 0.865920200748433
1998-04, -0.6, 0.189281493271123
1998-05, 0.7, 0.629096653131375
1998-06, -4, -0.961004309440306
1998-07, -3.7, -0.859508503318709
1998-08, -5.7, -1.53614721079602
1998-09, -4.2, -1.02866818018804
1998-10, -0.5, 0.223113428644988
1998-11, -0.5, 0.223113428644988
1998-12, 2.3, 1.17040761911322
1999-01, 1.8, 1.0012479422439
1999-02, 3.4, 1.54255890822574
1999-03, 1.7, 0.96741600687003
1999-04, -2.1, -0.31819753733686
1999-05, -1.3, -0.0475420543459361
1999-06, -3.3, -0.724180761823247
1999-07, -4.3, -1.0625001155619
1999-08, -4.4, -1.09633205093577
1999-09, -3, -0.62268495570165
1999-10, -0.5, 0.223113428644988
1999-11, 0.9, 0.696760523879106
1999-12, -0.8, 0.121617622523392
2000-01, 2.5, 1.23807148986095
