"Description: ","Monthly coldest daily TX"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, txn, normalised (all years)
1979-01, 15.4, 1.58572633927897
1979-02, 17, 2.0018058310468
1979-03, 12.2, 0.753567355743318
1979-04, 11.5, 0.571532578094894
1979-05, 8.1, -0.312636341911738
1979-06, 5.8, -0.910750611327988
1979-07, 6.4, -0.754720801915053
1979-08, 6.2, -0.806730738386032
1979-09, 6.5, -0.728715833679564
1979-10, 9, -0.0785916277923353
1979-11, 9.8, 0.129448118091578
1979-12, 14.1, 1.24766175221761
1980-01, 15.6, 1.63773627574995
1980-02, 14.2, 1.2736667204531
1980-03, 13.5, 1.09163194280468
1980-04, 6.7, -0.676705897208586
1980-05, 6.7, -0.676705897208586
1980-06, 3.2, -1.58687978545071
1980-07, 4.4, -1.27482016662484
1980-08, 6.7, -0.676705897208586
1980-09, 7.4, -0.494671119560162
1980-10, 9.3, -0.00057672308586764
1980-11, 9.6, 0.0774381816205996
1980-12, 10.9, 0.415502768681959
1981-01, 15.1, 1.5077114345725
1981-02, 15.6, 1.63773627574995
1981-03, 14, 1.22165678398212
1981-04, 11, 0.441507736917448
1981-05, 6.2, -0.806730738386032
1981-06, 4.7, -1.19680526191837
1981-07, 4.3, -1.30082513486033
1981-08, 6.3, -0.780725770150543
1981-09, 6.8, -0.650700928973097
1981-10, 9.1, -0.0525866595568462
1981-11, 10.9, 0.415502768681959
1981-12, 12.1, 0.727562387507829
1982-01, 13.5, 1.09163194280468
1982-02, 13.6, 1.11763691104017
1982-03, 11.4, 0.545527609859405
1982-04, 10.7, 0.36349283221098
1982-05, 7.4, -0.494671119560162
1982-06, 3.8, -1.43084997603777
1982-07, 4.8, -1.17080029368288
1982-08, 4.9, -1.14479532544739
1982-09, 9, -0.0785916277923353
1982-10, 8.4, -0.23462143720527
1982-11, 9, -0.0785916277923353
1982-12, 13.2, 1.01361703809821
1983-01, 15.1, 1.5077114345725
1983-02, 14.9, 1.45570149810153
1983-03, 13.9, 1.19565181574663
1983-04, 9.6, 0.0774381816205996
1983-05, 5.5, -0.988765516034456
1983-06, 4.3, -1.30082513486033
1983-07, 4, -1.37884003956679
1983-08, 5.6, -0.962760547798967
1983-09, 5.3, -1.04077545250543
1983-10, 8.7, -0.156606532498803
1983-11, 14.1, 1.24766175221761
1983-12, 18, 2.26185551340169
1984-01, 14.7, 1.40369156163055
1984-02, 12.6, 0.857587228685274
1984-03, 12.4, 0.805577292214296
1984-04, 10.6, 0.337487863975491
1984-05, 6.1, -0.832735706621521
1984-06, 3.7, -1.45685494427326
1984-07, 5.2, -1.06678042074092
1984-08, 4.1, -1.3528350713313
1984-09, 7.2, -0.54668105603114
1984-10, 8, -0.338641310147227
1984-11, 9.7, 0.103443149856089
1984-12, 11.5, 0.571532578094894
1985-01, 15.2, 1.53371640280799
1985-02, 13.5, 1.09163194280468
1985-03, 10.8, 0.38949780044647
1985-04, 6.1, -0.832735706621521
1985-05, 6.3, -0.780725770150543
1985-06, 6.8, -0.650700928973097
1985-07, 4.2, -1.32683010309581
1985-08, 5.8, -0.910750611327988
1985-09, 8, -0.338641310147227
1985-10, 9.9, 0.155453086327067
1985-11, 10.3, 0.259472959269024
1985-12, 12.7, 0.883592196920763
1986-01, 14.7, 1.40369156163055
1986-02, 12.8, 0.909597165156253
1986-03, 12, 0.701557419272339
1986-04, 10, 0.181458054562556
1986-05, 6.6, -0.702710865444075
1986-06, 5.4, -1.01477048426994
1986-07, 5.5, -0.988765516034456
1986-08, 5.7, -0.936755579563477
1986-09, 7, -0.598690992502118
1986-10, 10.2, 0.233467991033534
1986-11, 9.6, 0.0774381816205996
1986-12, 11.2, 0.493517673388426
1987-01, 15.5, 1.61173130751446
1987-02, 14, 1.22165678398212
1987-03, 14.6, 1.37768659339506
1987-04, 10.8, 0.38949780044647
1987-05, 5.1, -1.09278538897641
1987-06, 2.4, -1.79491953133462
1987-07, 3, -1.63888972192168
1987-08, 4.9, -1.14479532544739
1987-09, 7.7, -0.416656214853694
1987-10, 9.5, 0.0514332133851105
1987-11, 10.8, 0.38949780044647
1987-12, 11.9, 0.67555245103685
1988-01, 13.8, 1.16964684751114
1988-02, 17, 2.0018058310468
1988-03, 12.3, 0.779572323978807
1988-04, 10, 0.181458054562556
1988-05, 8.7, -0.156606532498803
1988-06, 5.4, -1.01477048426994
1988-07, 2, -1.89893940427658
1988-08, 4.4, -1.27482016662484
1988-09, 6.5, -0.728715833679564
1988-10, 8.2, -0.286631373676249
1988-11, 11.3, 0.519522641623915
1988-12, 9.8, 0.129448118091578
1989-01, 14.2, 1.2736667204531
1989-02, 16.2, 1.79376608516288
1989-03, 12.1, 0.727562387507829
1989-04, 8.6, -0.182611500734292
1989-05, 8.1, -0.312636341911738
1989-06, 4.3, -1.30082513486033
1989-07, 4.5, -1.24881519838935
1989-08, 5.5, -0.988765516034456
1989-09, 5.7, -0.936755579563477
1989-10, 7.2, -0.54668105603114
1989-11, 11.4, 0.545527609859405
1989-12, 10.1, 0.207463022798045
1990-01, 14.7, 1.40369156163055
1990-02, 13.8, 1.16964684751114
1990-03, 11, 0.441507736917448
1990-04, 9, -0.0785916277923353
1990-05, 6.5, -0.728715833679564
1990-06, 5.3, -1.04077545250543
1990-07, 3.8, -1.43084997603777
1990-08, 6.7, -0.676705897208586
1990-09, 7.3, -0.520676087795651
1990-10, 7.4, -0.494671119560162
1990-11, 7.8, -0.390651246618205
1990-12, 10.7, 0.36349283221098
1991-01, 13.6, 1.11763691104017
1991-02, 14.9, 1.45570149810153
1991-03, 12.5, 0.831582260449785
1991-04, 6.7, -0.676705897208586
1991-05, 7.6, -0.442661183089184
1991-06, 5, -1.1187903572119
1991-07, 4.2, -1.32683010309581
1991-08, 4.1, -1.3528350713313
1991-09, 8.5, -0.208616468969781
1991-10, 7, -0.598690992502118
1991-11, 11.7, 0.623542514565872
1991-12, 10, 0.181458054562556
1992-01, 17.4, 2.10582570398875
1992-02, 12.9, 0.935602133391742
1992-03, 14.1, 1.24766175221761
1992-04, 7.5, -0.468666151324673
1992-05, 3.7, -1.45685494427326
1992-06, 2.3, -1.82092449957011
1992-07, 2.6, -1.74290959486364
1992-08, 6.2, -0.806730738386032
1992-09, 6.3, -0.780725770150543
1992-10, 7.1, -0.572686024266629
1992-11, 7, -0.598690992502118
1992-12, 12.8, 0.909597165156253
1993-01, 16.5, 1.87178098986935
1993-02, 17, 2.0018058310468
1993-03, 15, 1.48170646633701
1993-04, 10.6, 0.337487863975491
1993-05, 4, -1.37884003956679
1993-06, 6.1, -0.832735706621521
1993-07, 4.4, -1.27482016662484
1993-08, 4.4, -1.27482016662484
1993-09, 8.5, -0.208616468969781
1993-10, 8.8, -0.130601564263313
1993-11, 8.7, -0.156606532498803
1993-12, 10.3, 0.259472959269024
1994-01, 17.4, 2.10582570398875
1994-02, 13, 0.961607101627231
1994-03, 12.1, 0.727562387507829
1994-04, 7.9, -0.364646278382716
1994-05, 7.1, -0.572686024266629
1994-06, 3.8, -1.43084997603777
1994-07, 4.7, -1.19680526191837
1994-08, 5.9, -0.884745643092499
1994-09, 8.3, -0.260626405440759
1994-10, 8, -0.338641310147227
1994-11, 9.3, -0.00057672308586764
1994-12, 11.3, 0.519522641623915
1995-01, 12.9, 0.935602133391742
1995-02, 13.8, 1.16964684751114
1995-03, 12.7, 0.883592196920763
1995-04, 9.2, -0.0265816913213572
1995-05, 10.3, 0.259472959269024
1995-06, 3.2, -1.58687978545071
1995-07, 1.6, -2.00295927721853
1995-08, 2.9, -1.66489469015717
1995-09, 6.2, -0.806730738386032
1995-10, 7.6, -0.442661183089184
1995-11, 12.7, 0.883592196920763
1995-12, 17.9, 2.2358505451662
1996-01, 13.9, 1.19565181574663
1996-02, 11.7, 0.623542514565872
1996-03, 12, 0.701557419272339
1996-04, 9.9, 0.155453086327067
1996-05, 6.9, -0.624695960737607
1996-06, 5.3, -1.04077545250543
1996-07, 7.1, -0.572686024266629
1996-08, 5.6, -0.962760547798967
1996-09, 5.9, -0.884745643092499
1996-10, 8.6, -0.182611500734292
1996-11, 10.2, 0.233467991033534
1996-12, 13.6, 1.11763691104017
1997-01, 15.3, 1.55972137104348
1997-02, 13.4, 1.06562697456919
1997-03, 12.8, 0.909597165156253
1997-04, 10.8, 0.38949780044647
1997-05, 7, -0.598690992502118
1997-06, 4.2, -1.32683010309581
1997-07, 4.8, -1.17080029368288
1997-08, 4.3, -1.30082513486033
1997-09, 7.7, -0.416656214853694
1997-10, 7, -0.598690992502118
1997-11, 9.6, 0.0774381816205996
1997-12, 11.4, 0.545527609859405
1998-01, 13.8, 1.16964684751114
1998-02, 17.5, 2.13183067222424
1998-03, 13.6, 1.11763691104017
1998-04, 8.9, -0.104596596027824
1998-05, 10.3, 0.259472959269024
1998-06, 6.7, -0.676705897208586
1998-07, 6.8, -0.650700928973097
1998-08, 5.6, -0.962760547798967
1998-09, 7.4, -0.494671119560162
1998-10, 10.4, 0.285477927504513
1998-11, 11.4, 0.545527609859405
1998-12, 14.3, 1.29967168868859
1999-01, 15.7, 1.66374124398544
