"Description: ","Monthly warmest daily TX"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, txx, normalised (all years)
1979-01, 28.6, 1.23487273757205
1979-02, 28.4, 1.20088289973433
1979-03, 27.8, 1.09891338622117
1979-04, 22.2, 0.14719792676497
1979-05, 14.5, -1.1614108299873
1979-06, 12.1, -1.56928888403995
1979-07, 14.9, -1.09343115431186
1979-08, 13.8, -1.28037526241932
1979-09, 19.8, -0.260680127287684
1979-10, 21.6, 0.045228413251807
1979-11, 23.6, 0.38512679162902
1979-12, 27.8, 1.09891338622117
1980-01, 31.9, 1.79570506189445
1980-02, 28.7, 1.25186765649091
1980-03, 28.3, 1.18388798081547
1980-04, 18.9, -0.413634397557431
1980-05, 16.1, -0.889492127285528
1980-06, 13, -1.41633461377021
1980-07, 13.4, -1.34835493809477
1980-08, 18.4, -0.498608992151734
1980-09, 20.1, -0.209695370531102
1980-10, 21.3, -0.00575634350477497
1980-11, 26.4, 0.860984521357117
1980-12, 25.7, 0.742020088925093
1981-01, 25.1, 0.640050575411929
1981-02, 29.3, 1.35383717000408
1981-03, 27.2, 0.996943872708002
1981-04, 19.3, -0.345654721881988
1981-05, 13.7, -1.29737018133818
1981-06, 13.1, -1.39933969485135
1981-07, 14.7, -1.12742099214958
1981-08, 18.4, -0.498608992151734
1981-09, 19.4, -0.328659802963127
1981-10, 23.6, 0.38512679162902
1981-11, 22.2, 0.14719792676497
1981-12, 25.4, 0.691035332168511
1982-01, 30.9, 1.62575587270585
1982-02, 25.2, 0.65704549433079
1982-03, 27.6, 1.06492354838345
1982-04, 22.7, 0.232172521359274
1982-05, 20.4, -0.158710613774521
1982-06, 11.8, -1.62027364079654
1982-07, 11.5, -1.67125839755312
1982-08, 17.6, -0.634568343502618
1982-09, 19.8, -0.260680127287684
1982-10, 19.6, -0.294669965125406
1982-11, 23.5, 0.368131872710159
1982-12, 31, 1.64275079162471
1983-01, 31.2, 1.67674062946243
1983-02, 27.6, 1.06492354838345
1983-03, 24.9, 0.606060737574208
1983-04, 20.6, -0.124720775936799
1983-05, 15.3, -1.02545147863641
1983-06, 11, -1.75623299214742
1983-07, 11.1, -1.73923807322856
1983-08, 15, -1.076436235393
1983-09, 16.7, -0.787522613772364
1983-10, 25.1, 0.640050575411929
1983-11, 29.1, 1.31984733216635
1983-12, 30, 1.4728016024361
1984-01, 31.6, 1.74472030513787
1984-02, 25.1, 0.640050575411929
1984-03, 25.1, 0.640050575411929
1984-04, 20.3, -0.175705532693381
1984-05, 10.9, -1.77322791106628
1984-06, 9.7, -1.97716693809261
1984-07, 13.8, -1.28037526241932
1984-08, 17, -0.736537857015782
1984-09, 16.5, -0.821512451610086
1984-10, 19.4, -0.328659802963127
1984-11, 24.8, 0.589065818655347
1984-12, 26.7, 0.911969278113699
1985-01, 27, 0.962954034870281
1985-02, 27.5, 1.04792862946458
1985-03, 28.3, 1.18388798081547
1985-04, 21.8, 0.0792182510895282
1985-05, 14.6, -1.14441591106844
1985-06, 14.6, -1.14441591106844
1985-07, 14.4, -1.17840574890616
1985-08, 15.1, -1.05944131647413
1985-09, 22.6, 0.215177602440413
1985-10, 21.5, 0.0282334943329462
1985-11, 29.3, 1.35383717000408
1985-12, 27.7, 1.08191846730231
1986-01, 28.5, 1.21787781865319
1986-02, 27.6, 1.06492354838345
1986-03, 23.7, 0.40212171054788
1986-04, 20.4, -0.158710613774521
1986-05, 15.5, -0.991461640798692
1986-06, 12.6, -1.48431428944565
1986-07, 15.3, -1.02545147863641
1986-08, 15.6, -0.974466721879831
1986-09, 19.3, -0.345654721881988
1986-10, 26.9, 0.94595911595142
1986-11, 23.5, 0.368131872710159
1986-12, 24.7, 0.572070899736486
1987-01, 30.5, 1.5577761970304
1987-02, 30.1, 1.48979652135496
1987-03, 27.1, 0.979948953789142
1987-04, 21.6, 0.045228413251807
1987-05, 14.1, -1.22939050566274
1987-06, 15.7, -0.957471802960971
1987-07, 12.6, -1.48431428944565
1987-08, 14.8, -1.11042607323072
1987-09, 18.7, -0.447624235395152
1987-10, 21.5, 0.0282334943329462
1987-11, 24, 0.453106467304462
1987-12, 26.1, 0.809999764600536
1988-01, 27.5, 1.04792862946458
1988-02, 29, 1.30285241324749
1988-03, 24.3, 0.504091224061044
1988-04, 23.8, 0.419116629466741
1988-05, 15.9, -0.923481965123249
1988-06, 12.5, -1.50130920836451
1988-07, 13.3, -1.36534985701363
1988-08, 14.6, -1.14441591106844
1988-09, 19.5, -0.311664884044267
1988-10, 21.6, 0.045228413251807
1988-11, 23.4, 0.351136953791298
1988-12, 25.7, 0.742020088925093
1989-01, 29.4, 1.37083208892294
1989-02, 30.2, 1.50679144027382
1989-03, 26.1, 0.809999764600536
1989-04, 21.5, 0.0282334943329462
1989-05, 17.7, -0.617573424583758
1989-06, 15.4, -1.00845655971755
1989-07, 12.1, -1.56928888403995
1989-08, 14.7, -1.12742099214958
1989-09, 20.7, -0.107725857017939
1989-10, 24.1, 0.470101386223323
1989-11, 22.4, 0.181187764602692
1989-12, 25.4, 0.691035332168511
1990-01, 28, 1.13290322405889
1990-02, 32, 1.81269998081331
1990-03, 26.2, 0.826994683519396
1990-04, 18, -0.566588667827176
1990-05, 15.9, -0.923481965123249
1990-06, 14.7, -1.12742099214958
1990-07, 15.3, -1.02545147863641
1990-08, 17.1, -0.719542938096921
1990-09, 19.2, -0.362649640800849
1990-10, 25.9, 0.776009926762814
1990-11, 25.4, 0.691035332168511
1990-12, 29.3, 1.35383717000408
1991-01, 26.2, 0.826994683519396
1991-02, 29.3, 1.35383717000408
1991-03, 28, 1.13290322405889
1991-04, 23, 0.283157278115856
1991-05, 18.8, -0.430629316476291
1991-06, 13.5, -1.3313600191759
1991-07, 11.7, -1.6372685597154
1991-08, 15.5, -0.991461640798692
1991-09, 18.2, -0.532598829989455
1991-10, 22.4, 0.181187764602692
1991-11, 20.3, -0.175705532693381
1991-12, 23.5, 0.368131872710159
1992-01, 28.4, 1.20088289973433
1992-02, 26.5, 0.877979440275978
1992-03, 25.5, 0.708030251087371
1992-04, 19.8, -0.260680127287684
1992-05, 13.1, -1.39933969485135
1992-06, 10.5, -1.84120758674172
1992-07, 10.7, -1.807217748904
1992-08, 14.9, -1.09343115431186
1992-09, 19.8, -0.260680127287684
1992-10, 18.8, -0.430629316476291
1992-11, 25.2, 0.65704549433079
1992-12, 23.7, 0.40212171054788
1993-01, 27.8, 1.09891338622117
1993-02, 27.8, 1.09891338622117
1993-03, 23.4, 0.351136953791298
1993-04, 19.7, -0.277675046206545
1993-05, 16.5, -0.821512451610086
1993-06, 12.2, -1.55229396512109
1993-07, 11.3, -1.70524823539084
1993-08, 17.8, -0.600578505664897
1993-09, 20.5, -0.14171569485566
1993-10, 25.6, 0.725025170006232
1993-11, 23.5, 0.368131872710159
1993-12, 26.2, 0.826994683519396
1994-01, 27.3, 1.01393879162686
1994-02, 27.2, 0.996943872708002
1994-03, 27.8, 1.09891338622117
1994-04, 19.4, -0.328659802963127
1994-05, 16.5, -0.821512451610086
1994-06, 15.8, -0.94047688404211
1994-07, 12.3, -1.53529904620223
1994-08, 15.4, -1.00845655971755
1994-09, 17.8, -0.600578505664897
1994-10, 21.2, -0.0227512624236358
1994-11, 26.4, 0.860984521357117
1994-12, 25.1, 0.640050575411929
1995-01, 29.3, 1.35383717000408
1995-02, 29.6, 1.40482192676066
1995-03, 27.1, 0.979948953789142
1995-04, 23.3, 0.334142034872438
1995-05, 17.2, -0.702548019178061
1995-06, 12, -1.58628380295881
1995-07, 14.3, -1.19540066782502
1995-08, 14.2, -1.21239558674388
1995-09, 18.6, -0.464619154314012
1995-10, 21.7, 0.0622233321706673
1995-11, 23.3, 0.334142034872438
1995-12, 30.6, 1.57477111594926
1996-01, 27.3, 1.01393879162686
1996-02, 26.4, 0.860984521357117
1996-03, 26.4, 0.860984521357117
1996-04, 20.5, -0.14171569485566
1996-05, 20.8, -0.0907309380990781
1996-06, 14.6, -1.14441591106844
1996-07, 15.8, -0.94047688404211
1996-08, 15.6, -0.974466721879831
1996-09, 21.1, -0.0397461813424961
1996-10, 21.7, 0.0622233321706673
1996-11, 23.6, 0.38512679162902
1996-12, 27.1, 0.979948953789142
1997-01, 26.8, 0.92896419703256
1997-02, 26.4, 0.860984521357117
1997-03, 28.6, 1.23487273757205
1997-04, 21.9, 0.0962131700083885
1997-05, 22.2, 0.14719792676497
1997-06, 13.1, -1.39933969485135
1997-07, 13.2, -1.38234477593249
1997-08, 16.9, -0.753532775934643
1997-09, 19.7, -0.277675046206545
1997-10, 18.6, -0.464619154314012
1997-11, 22.1, 0.13020300784611
1997-12, 24.6, 0.555075980817626
1998-01, 25.3, 0.67404041324965
1998-02, 29.5, 1.3878270078418
1998-03, 25.5, 0.708030251087371
1998-04, 24.4, 0.521086142979904
1998-05, 20.3, -0.175705532693381
1998-06, 16, -0.906487046204389
1998-07, 12.4, -1.51830412728337
1998-08, 15.9, -0.923481965123249
1998-09, 17.8, -0.600578505664897
1998-10, 24.1, 0.470101386223323
1998-11, 26, 0.793004845681675
1998-12, 25.2, 0.65704549433079
1999-01, 31.4, 1.71073046730015
1999-02, 28, 1.13290322405889
1999-03, 26, 0.793004845681675
1999-04, 20.2, -0.192700451612242
1999-05, 15.6, -0.974466721879831
1999-06, 11.4, -1.68825331647198
1999-07, 12.7, -1.46731937052679
1999-08, 15.4, -1.00845655971755
1999-09, 19.1, -0.379644559719709
1999-10, 26.3, 0.843989602438257
1999-11, 23.6, 0.38512679162902
1999-12, 28.3, 1.18388798081547
2000-01, 27.1, 0.979948953789142
2000-02, 27, 0.962954034870281
2000-03, 25.6, 0.725025170006232
2000-04, 22.1, 0.13020300784611
2000-05, 15.7, -0.957471802960971
2000-06, 11.3, -1.70524823539084
2000-07, 11.1, -1.73923807322856
2000-08, 13.1, -1.39933969485135
2000-09, 18.5, -0.481614073232873
2000-10, 21.1, -0.0397461813424961
2000-11, 23.5, 0.368131872710159
