"Description: ","Monthly sum of daily precipitation >= 1.0 mm"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, prcptot, normalised (all years)
1979-01, 50.6, -0.715047596952749
1979-02, 24.9, -0.93850759232874
1979-03, 20.7, -0.975026346436878
1979-04, 66.1, -0.58027600441081
1979-05, 371.5, 2.07515911573812
1979-06, 137.5, 0.0405428154275457
1979-07, 332.8, 1.73866488145599
1979-08, 499.1, 3.18463364530919
1979-09, 217.1, 0.732660155191314
1979-10, 107.1, -0.223783404783743
1979-11, 180.7, 0.416164286254113
1979-12, 165.3, 0.282262187857606
1980-01, 15.5, -1.02024004199934
1980-02, 150.5, 0.153577054333689
1980-03, 108.3, -0.21334947503856
1980-04, 326.8, 1.68649523273008
1980-05, 626.3, 4.29063019829853
1980-06, 346, 1.85343810865299
1980-07, 283.4, 1.30913477361264
1980-08, 314.7, 1.58128644113282
1980-09, 115.3, -0.152484884858329
1980-10, 5.4, -1.10805895068795
1980-11, 62.8, -0.608969311210061
1980-12, 114, -0.163788308748944
1981-01, 107.8, -0.21769694576572
1981-02, 23.1, -0.954158486946514
1981-03, 92.9, -0.347251573435068
1981-04, 205.6, 0.632668328466649
1981-05, 506.8, 3.25158469450744
1981-06, 162.7, 0.259655340076377
1981-07, 142.9, 0.0874954992808668
1981-08, 207.9, 0.652666693811582
1981-09, 156.1, 0.202268726477874
1981-10, 64.4, -0.595057404883151
1981-11, 46.1, -0.754174833497184
1981-12, 72.7, -0.522889390812306
1982-01, 129.3, -0.0307557044978675
1982-02, 60.2, -0.63157615899129
1982-03, 73.6, -0.515063943503419
1982-04, 58.2, -0.648966041899927
1982-05, 332, 1.73170892829253
1982-06, 343.5, 1.8317007550172
1982-07, 384.5, 2.18819335464426
1982-08, 235.8, 0.895255560387074
1982-09, 202, 0.601366539231102
1982-10, 179.8, 0.408338838945227
1982-11, 102.4, -0.264649629619041
1982-12, 26.3, -0.926334674292694
1983-01, 54.5, -0.681137325280906
1983-02, 15.7, -1.01850105370847
1983-03, 78.3, -0.474197718668121
1983-04, 129.4, -0.0298862103524357
1983-05, 196.3, 0.551805372941485
1983-06, 215.4, 0.717878754718972
1983-07, 249, 1.01002878758408
1983-08, 197.3, 0.560500314395804
1983-09, 229.2, 0.83786894678857
1983-10, 123.4, -0.0820558590783479
1983-11, 20.4, -0.977634828873174
1983-12, 33.9, -0.860253119239871
1984-01, 41.8, -0.791563081750754
1984-02, 57.3, -0.656791489208814
1984-03, 42.9, -0.781998646151003
1984-04, 87.7, -0.392465268997525
1984-05, 425.2, 2.54207747183504
1984-06, 327, 1.68823422102094
1984-07, 390.6, 2.24123249751561
1984-08, 123.4, -0.0820558590783479
1984-09, 176.1, 0.376167555564248
1984-10, 268.5, 1.1795801459433
1984-11, 56.8, -0.661138959935973
1984-12, 37.8, -0.826342847568029
1985-01, 71.9, -0.529845343975761
1985-02, 35.8, -0.843732730476666
1985-03, 80.1, -0.458546824050348
1985-04, 137.5, 0.0405428154275457
1985-05, 465, 2.88813614171692
1985-06, 226.8, 0.817001087298206
1985-07, 197.1, 0.55876132610494
1985-08, 164.3, 0.273567246403287
1985-09, 163.4, 0.2657417990944
1985-10, 99.8, -0.287256477400269
1985-11, 91.7, -0.357685503180251
1985-12, 38, -0.824603859277165
1986-01, 40.8, -0.800258023205073
1986-02, 97.3, -0.308993831036066
1986-03, 108.5, -0.211610486747697
1986-04, 166.5, 0.292696117602788
1986-05, 376.7, 2.12037281130058
1986-06, 270.8, 1.19957851128823
1986-07, 169.6, 0.319650436111176
1986-08, 313.1, 1.56737453480591
1986-09, 86, -0.407246669469867
1986-10, 98.3, -0.300298889581747
1986-11, 152, 0.166619466515167
1986-12, 31.5, -0.881120978730236
1987-01, 18.1, -0.997633194218107
1987-02, 27, -0.920248215274671
1987-03, 108.5, -0.211610486747697
1987-04, 90.1, -0.371597409507161
1987-05, 174.6, 0.363125143382769
1987-06, 78, -0.476806201104417
1987-07, 410.1, 2.41078385587482
1987-08, 269.9, 1.19175306397934
1987-09, 118.8, -0.122052589768214
1987-10, 159, 0.227484056695398
1987-11, 66.2, -0.579406510265377
1987-12, 49.3, -0.726351020843364
1988-01, 53.7, -0.688093278444361
1988-02, 11.3, -1.05675879610747
1988-03, 103, -0.259432664746449
1988-04, 92.5, -0.350729550016796
1988-05, 97.2, -0.309863325181498
1988-06, 287.7, 1.34652302186621
1988-07, 150, 0.149229583606529
1988-08, 313.7, 1.5725914996785
1988-09, 86, -0.407246669469867
1988-10, 155.4, 0.196182267459851
1988-11, 34.2, -0.857644636803576
1988-12, 69, -0.555060674193285
1989-01, 28.5, -0.907205803093193
1989-02, 23, -0.955027981091945
1989-03, 53.3, -0.691571255026089
1989-04, 46.4, -0.751566351060888
1989-05, 69, -0.555060674193285
1989-06, 347.4, 1.86561102668904
1989-07, 302.7, 1.47694714368099
1989-08, 263.1, 1.13262746208997
1989-09, 68.1, -0.562886121502172
1989-10, 76.5, -0.489848613285895
1989-11, 42.7, -0.783737634441867
1989-12, 178.8, 0.399643897490908
1990-01, 19.9, -0.981982299600333
1990-02, 70.8, -0.539409779575512
1990-03, 135.6, 0.0240224266643402
1990-04, 177.8, 0.390948956036589
1990-05, 350.8, 1.89517382763372
1990-06, 200.2, 0.585715644613328
1990-07, 176.7, 0.381384520436839
1990-08, 229.1, 0.836999452643139
1990-09, 268.8, 1.18218862837959
1990-10, 113.5, -0.168135779476103
1990-11, 48.7, -0.731567985715955
1990-12, 39.9, -0.808083470513959
1991-01, 33.7, -0.861992107530735
