"Description: ","Annual number of days when precipitation >= 20 mm"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, r20mm, normalised (all years)
1979, 37, 1.15325001740969
1980, 44, 1.99118104271749
1981, 36, 1.03354558522286
1982, 46, 2.23058990709115
1983, 28, 0.0759101277282327
1984, 39, 1.39265888178335
1985, 32, 0.554727856475548
1986, 33, 0.674432288662376
1987, 30, 0.31531899210189
1988, 24, -0.402907601019082
1989, 26, -0.163498736645425
1990, 29, 0.195614559915061
1991, 32, 0.554727856475548
1992, 30, 0.31531899210189
1993, 36, 1.03354558522286
1994, 29, 0.195614559915061
1995, 31, 0.435023424288719
1996, 28, 0.0759101277282327
1997, 42, 1.75177217834384
1998, 12, -1.83936078726103
1999, 24, -0.402907601019082
2000, 23, -0.522612033205911
2001, 31, 0.435023424288719
2002, 36, 1.03354558522286
2003, 19, -1.00142976195323
2004, 25, -0.283203168832253
2005, 30, 0.31531899210189
2006, 29, 0.195614559915061
2007, 20, -0.881725329766397
2008, 25, -0.283203168832253
2009, 19, -1.00142976195323
2010, 13, -1.7196563550742
2011, 22, -0.64231646539274
2012, 20, -0.881725329766397
2013, 13, -1.7196563550742
2014, 27, -0.043794304458596
2015, 29, 0.195614559915061
2016, 20, -0.881725329766397
2017, 13, -1.7196563550742
2018, 23, -0.522612033205911
2019, 17, -1.24083862632688
2020, -99.9, -99.9
