"Description: ","Monthly number of days when precipitation >= 20 mm"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, r20mm, normalised (all years)
1979-01, 1, -0.543512601333393
1979-02, 0, -0.967970061422328
1979-03, 0, -0.967970061422328
1979-04, 1, -0.543512601333393
1979-05, 6, 1.57877469911128
1979-06, 2, -0.119055141244457
1979-07, 10, 3.27660453946703
1979-08, 10, 3.27660453946703
1979-09, 1, -0.543512601333393
1979-10, 1, -0.543512601333393
1979-11, 2, -0.119055141244457
1979-12, 3, 0.305402318844478
1980-01, 0, -0.967970061422328
1980-02, 3, 0.305402318844478
1980-03, 2, -0.119055141244457
1980-04, 7, 2.00323215920022
1980-05, 10, 3.27660453946703
1980-06, 8, 2.42768961928915
1980-07, 4, 0.729859778933413
1980-08, 5, 1.15431723902235
1980-09, 2, -0.119055141244457
1980-10, 0, -0.967970061422328
1980-11, 0, -0.967970061422328
1980-12, 3, 0.305402318844478
1981-01, 1, -0.543512601333393
1981-02, 0, -0.967970061422328
1981-03, 2, -0.119055141244457
1981-04, 4, 0.729859778933413
1981-05, 12, 4.1255194596449
1981-06, 3, 0.305402318844478
1981-07, 2, -0.119055141244457
1981-08, 4, 0.729859778933413
1981-09, 3, 0.305402318844478
1981-10, 2, -0.119055141244457
1981-11, 1, -0.543512601333393
1981-12, 2, -0.119055141244457
1982-01, 3, 0.305402318844478
1982-02, 1, -0.543512601333393
1982-03, 1, -0.543512601333393
1982-04, 1, -0.543512601333393
1982-05, 8, 2.42768961928915
1982-06, 8, 2.42768961928915
1982-07, 7, 2.00323215920022
1982-08, 7, 2.00323215920022
1982-09, 4, 0.729859778933413
1982-10, 3, 0.305402318844478
1982-11, 3, 0.305402318844478
1982-12, 0, -0.967970061422328
1983-01, 1, -0.543512601333393
1983-02, 0, -0.967970061422328
1983-03, 1, -0.543512601333393
1983-04, 2, -0.119055141244457
1983-05, 5, 1.15431723902235
1983-06, 4, 0.729859778933413
1983-07, 5, 1.15431723902235
1983-08, 3, 0.305402318844478
1983-09, 4, 0.729859778933413
1983-10, 3, 0.305402318844478
1983-11, 0, -0.967970061422328
1983-12, 0, -0.967970061422328
1984-01, 0, -0.967970061422328
1984-02, 2, -0.119055141244457
1984-03, 0, -0.967970061422328
1984-04, 2, -0.119055141244457
1984-05, 9, 2.85214707937809
1984-06, 7, 2.00323215920022
1984-07, 6, 1.57877469911128
1984-08, 2, -0.119055141244457
1984-09, 5, 1.15431723902235
1984-10, 6, 1.57877469911128
1984-11, 0, -0.967970061422328
1984-12, 0, -0.967970061422328
1985-01, 2, -0.119055141244457
1985-02, 0, -0.967970061422328
1985-03, 1, -0.543512601333393
1985-04, 2, -0.119055141244457
1985-05, 9, 2.85214707937809
1985-06, 4, 0.729859778933413
1985-07, 6, 1.57877469911128
1985-08, 2, -0.119055141244457
1985-09, 3, 0.305402318844478
1985-10, 2, -0.119055141244457
1985-11, 1, -0.543512601333393
1985-12, 0, -0.967970061422328
1986-01, 1, -0.543512601333393
1986-02, 1, -0.543512601333393
1986-03, 2, -0.119055141244457
1986-04, 2, -0.119055141244457
1986-05, 7, 2.00323215920022
1986-06, 6, 1.57877469911128
1986-07, 2, -0.119055141244457
1986-08, 6, 1.57877469911128
1986-09, 2, -0.119055141244457
1986-10, 2, -0.119055141244457
1986-11, 1, -0.543512601333393
1986-12, 1, -0.543512601333393
1987-01, 0, -0.967970061422328
1987-02, 1, -0.543512601333393
1987-03, 2, -0.119055141244457
1987-04, 2, -0.119055141244457
1987-05, 4, 0.729859778933413
1987-06, 1, -0.543512601333393
1987-07, 11, 3.70106199955596
1987-08, 4, 0.729859778933413
1987-09, 2, -0.119055141244457
1987-10, 2, -0.119055141244457
1987-11, 1, -0.543512601333393
1987-12, 0, -0.967970061422328
1988-01, 2, -0.119055141244457
1988-02, 0, -0.967970061422328
1988-03, 2, -0.119055141244457
1988-04, 1, -0.543512601333393
1988-05, 1, -0.543512601333393
1988-06, 4, 0.729859778933413
1988-07, 3, 0.305402318844478
1988-08, 6, 1.57877469911128
1988-09, 1, -0.543512601333393
1988-10, 2, -0.119055141244457
1988-11, 0, -0.967970061422328
1988-12, 2, -0.119055141244457
1989-01, 0, -0.967970061422328
1989-02, 1, -0.543512601333393
1989-03, 1, -0.543512601333393
1989-04, 1, -0.543512601333393
1989-05, 1, -0.543512601333393
1989-06, 5, 1.15431723902235
1989-07, 6, 1.57877469911128
1989-08, 3, 0.305402318844478
1989-09, 2, -0.119055141244457
1989-10, 2, -0.119055141244457
1989-11, 0, -0.967970061422328
1989-12, 4, 0.729859778933413
1990-01, 0, -0.967970061422328
1990-02, 2, -0.119055141244457
1990-03, 2, -0.119055141244457
1990-04, 3, 0.305402318844478
1990-05, 8, 2.42768961928915
1990-06, 3, 0.305402318844478
1990-07, 2, -0.119055141244457
1990-08, 4, 0.729859778933413
1990-09, 4, 0.729859778933413
1990-10, 1, -0.543512601333393
1990-11, 0, -0.967970061422328
1990-12, 0, -0.967970061422328
1991-01, 0, -0.967970061422328
1991-02, 0, -0.967970061422328
1991-03, 1, -0.543512601333393
1991-04, 3, 0.305402318844478
1991-05, 8, 2.42768961928915
1991-06, 2, -0.119055141244457
1991-07, 7, 2.00323215920022
1991-08, 3, 0.305402318844478
1991-09, 1, -0.543512601333393
1991-10, 2, -0.119055141244457
1991-11, 1, -0.543512601333393
1991-12, 4, 0.729859778933413
1992-01, 0, -0.967970061422328
1992-02, 1, -0.543512601333393
1992-03, 2, -0.119055141244457
1992-04, 2, -0.119055141244457
1992-05, 5, 1.15431723902235
1992-06, 8, 2.42768961928915
1992-07, 4, 0.729859778933413
1992-08, 2, -0.119055141244457
1992-09, 2, -0.119055141244457
1992-10, 1, -0.543512601333393
1992-11, 1, -0.543512601333393
1992-12, 2, -0.119055141244457
1993-01, 0, -0.967970061422328
1993-02, 0, -0.967970061422328
1993-03, 1, -0.543512601333393
1993-04, 6, 1.57877469911128
1993-05, 7, 2.00323215920022
1993-06, 5, 1.15431723902235
1993-07, 9, 2.85214707937809
1993-08, 2, -0.119055141244457
1993-09, 2, -0.119055141244457
1993-10, 2, -0.119055141244457
1993-11, 1, -0.543512601333393
1993-12, 1, -0.543512601333393
1994-01, 0, -0.967970061422328
1994-02, 0, -0.967970061422328
1994-03, 0, -0.967970061422328
1994-04, 2, -0.119055141244457
1994-05, 3, 0.305402318844478
1994-06, 7, 2.00323215920022
1994-07, 7, 2.00323215920022
1994-08, 2, -0.119055141244457
1994-09, 2, -0.119055141244457
1994-10, 3, 0.305402318844478
1994-11, 1, -0.543512601333393
1994-12, 2, -0.119055141244457
1995-01, 1, -0.543512601333393
1995-02, 0, -0.967970061422328
1995-03, 0, -0.967970061422328
1995-04, 4, 0.729859778933413
1995-05, 1, -0.543512601333393
1995-06, 7, 2.00323215920022
1995-07, 8, 2.42768961928915
1995-08, 6, 1.57877469911128
1995-09, 2, -0.119055141244457
1995-10, 2, -0.119055141244457
1995-11, 0, -0.967970061422328
1995-12, 0, -0.967970061422328
1996-01, 0, -0.967970061422328
1996-02, 0, -0.967970061422328
1996-03, 2, -0.119055141244457
1996-04, 4, 0.729859778933413
1996-05, 7, 2.00323215920022
1996-06, 4, 0.729859778933413
1996-07, 2, -0.119055141244457
1996-08, 6, 1.57877469911128
1996-09, 0, -0.967970061422328
1996-10, 0, -0.967970061422328
1996-11, 2, -0.119055141244457
1996-12, 1, -0.543512601333393
1997-01, 1, -0.543512601333393
1997-02, 1, -0.543512601333393
1997-03, 0, -0.967970061422328
1997-04, 4, 0.729859778933413
1997-05, 5, 1.15431723902235
1997-06, 10, 3.27660453946703
1997-07, 8, 2.42768961928915
1997-08, 5, 1.15431723902235
1997-09, 2, -0.119055141244457
1997-10, 3, 0.305402318844478
1997-11, 2, -0.119055141244457
1997-12, 1, -0.543512601333393
1998-01, 0, -0.967970061422328
1998-02, 0, -0.967970061422328
1998-03, 0, -0.967970061422328
1998-04, 2, -0.119055141244457
1998-05, 2, -0.119055141244457
1998-06, 3, 0.305402318844478
1998-07, 1, -0.543512601333393
1998-08, 1, -0.543512601333393
1998-09, 2, -0.119055141244457
1998-10, 0, -0.967970061422328
1998-11, 0, -0.967970061422328
1998-12, 1, -0.543512601333393
1999-01, 0, -0.967970061422328
1999-02, 1, -0.543512601333393
1999-03, 1, -0.543512601333393
1999-04, 0, -0.967970061422328
1999-05, 7, 2.00323215920022
1999-06, 6, 1.57877469911128
1999-07, 1, -0.543512601333393
1999-08, 2, -0.119055141244457
1999-09, 5, 1.15431723902235
1999-10, 1, -0.543512601333393
1999-11, 0, -0.967970061422328
1999-12, 0, -0.967970061422328
2000-01, 0, -0.967970061422328
2000-02, 3, 0.305402318844478
2000-03, 0, -0.967970061422328
2000-04, 2, -0.119055141244457
2000-05, 3, 0.305402318844478
2000-06, 8, 2.42768961928915
2000-07, 0, -0.967970061422328
2000-08, 3, 0.305402318844478
2000-09, 2, -0.119055141244457
2000-10, 1, -0.543512601333393
2000-11, 1, -0.543512601333393
2000-12, 0, -0.967970061422328
2001-01, 2, -0.119055141244457
2001-02, 0, -0.967970061422328
2001-03, 2, -0.119055141244457
2001-04, 2, -0.119055141244457
2001-05, 6, 1.57877469911128
2001-06, 7, 2.00323215920022
2001-07, 8, 2.42768961928915
2001-08, 2, -0.119055141244457
2001-09, 0, -0.967970061422328
2001-10, 1, -0.543512601333393
2001-11, 1, -0.543512601333393
2001-12, 0, -0.967970061422328
2002-01, 0, -0.967970061422328
2002-02, 1, -0.543512601333393
2002-03, 1, -0.543512601333393
2002-04, 2, -0.119055141244457
2002-05, 7, 2.00323215920022
2002-06, 4, 0.729859778933413
2002-07, 2, -0.119055141244457
2002-08, 6, 1.57877469911128
2002-09, 4, 0.729859778933413
2002-10, 5, 1.15431723902235
2002-11, 3, 0.305402318844478
2002-12, 1, -0.543512601333393
2003-01, 0, -0.967970061422328
2003-02, 0, -0.967970061422328
2003-03, 1, -0.543512601333393
2003-04, 0, -0.967970061422328
2003-05, 1, -0.543512601333393
2003-06, 7, 2.00323215920022
2003-07, 3, 0.305402318844478
2003-08, 2, -0.119055141244457
2003-09, 2, -0.119055141244457
2003-10, 2, -0.119055141244457
2003-11, 1, -0.543512601333393
2003-12, 0, -0.967970061422328
2004-01, 0, -0.967970061422328
2004-02, 0, -0.967970061422328
2004-03, 1, -0.543512601333393
2004-04, 2, -0.119055141244457
2004-05, 0, -0.967970061422328
2004-06, 6, 1.57877469911128
2004-07, 5, 1.15431723902235
2004-08, 3, 0.305402318844478
2004-09, 2, -0.119055141244457
2004-10, 3, 0.305402318844478
2004-11, 2, -0.119055141244457
2004-12, 1, -0.543512601333393
2005-01, 0, -0.967970061422328
2005-02, 0, -0.967970061422328
2005-03, 1, -0.543512601333393
2005-04, 1, -0.543512601333393
2005-05, 10, 3.27660453946703
2005-06, 4, 0.729859778933413
2005-07, 4, 0.729859778933413
2005-08, 3, 0.305402318844478
2005-09, 1, -0.543512601333393
2005-10, 2, -0.119055141244457
2005-11, 3, 0.305402318844478
2005-12, 1, -0.543512601333393
2006-01, 1, -0.543512601333393
2006-02, 0, -0.967970061422328
2006-03, 0, -0.967970061422328
2006-04, 2, -0.119055141244457
2006-05, 3, 0.305402318844478
2006-06, 7, 2.00323215920022
2006-07, 6, 1.57877469911128
2006-08, 6, 1.57877469911128
2006-09, 2, -0.119055141244457
2006-10, 0, -0.967970061422328
2006-11, 0, -0.967970061422328
2006-12, 2, -0.119055141244457
2007-01, 0, -0.967970061422328
2007-02, 2, -0.119055141244457
2007-03, 1, -0.543512601333393
2007-04, 4, 0.729859778933413
2007-05, 3, 0.305402318844478
2007-06, 2, -0.119055141244457
