"Description: ","Annual number of days when TX > 25 degrees_C"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, su, normalised (all years)
1979, 44, 0.389798867706368
1980, 36, -0.283117072334099
1981, 17, -1.88129242993021
1982, 40, 0.0533408976861344
1983, 58, 1.56740176277718
1984, 41, 0.137455390191193
1985, 54, 1.23094379275695
1986, 26, -1.12426199738468
1987, 51, 0.978600315241775
1988, 43, 0.305684375201309
1989, 41, 0.137455390191193
1990, 46, 0.558027852716484
1991, 34, -0.451346057344215
1992, 35, -0.367231564839157
1993, 23, -1.37660547489986
1994, 49, 0.810371330231659
1995, 37, -0.19900257982904
1996, 32, -0.619575042354332
1997, 32, -0.619575042354332
1998, 52, 1.06271480774683
1999, 48, 0.726256837726601
2000, 21, -1.54483445990997
2001, 32, -0.619575042354332
2002, 35, -0.367231564839157
2003, 25, -1.20837648988974
2004, 37, -0.19900257982904
2005, 38, -0.114888087323982
2006, 29, -0.871918519869507
2007, 26, -1.12426199738468
2008, 70, 2.57677567283788
2009, 35, -0.367231564839157
2010, 19, -1.71306344492009
2011, 50, 0.894485822736717
2012, 33, -0.535460549849273
2013, 48, 0.726256837726601
2014, 30, -0.787804027364448
2015, 58, 1.56740176277718
2016, 57, 1.48328727027212
2017, 38, -0.114888087323982
2018, 52, 1.06271480774683
2019, 42, 0.221569882696251
2020, -99.9, -99.9
