"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, su, normalised (all years)
1979-01, 17, 2.42796999742497
1979-02, 10, 1.1842532917508
1979-03, 4, 0.118210401172948
1979-04, 1, -0.41481104411598
1979-05, 0, -0.59248485921229
1979-06, 0, -0.59248485921229
1979-07, 0, -0.59248485921229
1979-08, 0, -0.59248485921229
1979-09, 0, -0.59248485921229
1979-10, 0, -0.59248485921229
1979-11, 3, -0.0594634139233616
1979-12, 9, 1.00657947665449
1980-01, 15, 2.07262236723235
1980-02, 8, 0.828905661558185
1980-03, 4, 0.118210401172948
1980-04, 0, -0.59248485921229
1980-05, 0, -0.59248485921229
1980-06, 0, -0.59248485921229
1980-07, 0, -0.59248485921229
1980-08, 0, -0.59248485921229
1980-09, 0, -0.59248485921229
1980-10, 0, -0.59248485921229
1980-11, 2, -0.237137229019671
1980-12, 7, 0.651231846461876
1981-01, 1, -0.41481104411598
1981-02, 4, 0.118210401172948
1981-03, 4, 0.118210401172948
1981-04, 0, -0.59248485921229
1981-05, 0, -0.59248485921229
1981-06, 0, -0.59248485921229
1981-07, 0, -0.59248485921229
1981-08, 0, -0.59248485921229
1981-09, 0, -0.59248485921229
1981-10, 0, -0.59248485921229
1981-11, 1, -0.41481104411598
1981-12, 7, 0.651231846461876
1982-01, 15, 2.07262236723235
1982-02, 5, 0.295884216269257
1982-03, 7, 0.651231846461876
1982-04, 0, -0.59248485921229
1982-05, 0, -0.59248485921229
1982-06, 0, -0.59248485921229
1982-07, 0, -0.59248485921229
1982-08, 0, -0.59248485921229
1982-09, 0, -0.59248485921229
1982-10, 0, -0.59248485921229
1982-11, 1, -0.41481104411598
1982-12, 12, 1.53960092194342
1983-01, 18, 2.60564381252128
1983-02, 10, 1.1842532917508
1983-03, 3, -0.0594634139233616
1983-04, 0, -0.59248485921229
1983-05, 0, -0.59248485921229
1983-06, 0, -0.59248485921229
1983-07, 0, -0.59248485921229
1983-08, 0, -0.59248485921229
1983-09, 0, -0.59248485921229
1983-10, 2, -0.237137229019671
1983-11, 5, 0.295884216269257
1983-12, 20, 2.9609914427139
1984-01, 15, 2.07262236723235
1984-02, 5, 0.295884216269257
1984-03, 8, 0.828905661558185
1984-04, 0, -0.59248485921229
1984-05, 0, -0.59248485921229
1984-06, 0, -0.59248485921229
1984-07, 0, -0.59248485921229
1984-08, 0, -0.59248485921229
1984-09, 0, -0.59248485921229
1984-10, 0, -0.59248485921229
1984-11, 3, -0.0594634139233616
1984-12, 10, 1.1842532917508
1985-01, 14, 1.89494855213604
1985-02, 12, 1.53960092194342
1985-03, 7, 0.651231846461876
1985-04, 0, -0.59248485921229
1985-05, 0, -0.59248485921229
1985-06, 0, -0.59248485921229
1985-07, 0, -0.59248485921229
1985-08, 0, -0.59248485921229
1985-09, 0, -0.59248485921229
1985-10, 0, -0.59248485921229
1985-11, 10, 1.1842532917508
1985-12, 11, 1.36192710684711
1986-01, 11, 1.36192710684711
1986-02, 10, 1.1842532917508
1986-03, 0, -0.59248485921229
1986-04, 0, -0.59248485921229
1986-05, 0, -0.59248485921229
1986-06, 0, -0.59248485921229
1986-07, 0, -0.59248485921229
1986-08, 0, -0.59248485921229
1986-09, 0, -0.59248485921229
1986-10, 2, -0.237137229019671
1986-11, 1, -0.41481104411598
1986-12, 2, -0.237137229019671
1987-01, 14, 1.89494855213604
1987-02, 17, 2.42796999742497
1987-03, 10, 1.1842532917508
1987-04, 0, -0.59248485921229
1987-05, 0, -0.59248485921229
1987-06, 0, -0.59248485921229
1987-07, 0, -0.59248485921229
1987-08, 0, -0.59248485921229
1987-09, 0, -0.59248485921229
1987-10, 0, -0.59248485921229
