"Description: ","Monthly number of days when TM < 5 degrees_C"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, tmlt5, normalised (all years)
1979-01, 0, -0.408056496036635
1979-02, 0, -0.408056496036635
1979-03, 0, -0.408056496036635
1979-04, 0, -0.408056496036635
1979-05, 0, -0.408056496036635
1979-06, 4, 1.55219553335001
1979-07, 1, 0.082006511310026
1979-08, 0, -0.408056496036635
1979-09, 0, -0.408056496036635
1979-10, 0, -0.408056496036635
1979-11, 0, -0.408056496036635
1979-12, 0, -0.408056496036635
1980-01, 0, -0.408056496036635
1980-02, 0, -0.408056496036635
1980-03, 0, -0.408056496036635
1980-04, 0, -0.408056496036635
1980-05, 0, -0.408056496036635
1980-06, 4, 1.55219553335001
1980-07, 6, 2.53232154804333
1980-08, 0, -0.408056496036635
1980-09, 0, -0.408056496036635
1980-10, 0, -0.408056496036635
1980-11, 0, -0.408056496036635
1980-12, 0, -0.408056496036635
1981-01, 0, -0.408056496036635
1981-02, 0, -0.408056496036635
1981-03, 0, -0.408056496036635
1981-04, 0, -0.408056496036635
1981-05, 0, -0.408056496036635
1981-06, 1, 0.082006511310026
1981-07, 2, 0.572069518656687
1981-08, 0, -0.408056496036635
1981-09, 0, -0.408056496036635
1981-10, 0, -0.408056496036635
1981-11, 0, -0.408056496036635
1981-12, 0, -0.408056496036635
1982-01, 0, -0.408056496036635
1982-02, 0, -0.408056496036635
1982-03, 0, -0.408056496036635
1982-04, 0, -0.408056496036635
1982-05, 0, -0.408056496036635
1982-06, 8, 3.51244756273666
1982-07, 4, 1.55219553335001
1982-08, 0, -0.408056496036635
1982-09, 0, -0.408056496036635
1982-10, 0, -0.408056496036635
1982-11, 0, -0.408056496036635
1982-12, 0, -0.408056496036635
1983-01, 0, -0.408056496036635
1983-02, 0, -0.408056496036635
1983-03, 0, -0.408056496036635
1983-04, 0, -0.408056496036635
1983-05, 0, -0.408056496036635
1983-06, 3, 1.06213252600335
1983-07, 3, 1.06213252600335
1983-08, 1, 0.082006511310026
1983-09, 0, -0.408056496036635
1983-10, 0, -0.408056496036635
1983-11, 0, -0.408056496036635
1983-12, 0, -0.408056496036635
1984-01, 0, -0.408056496036635
1984-02, 0, -0.408056496036635
1984-03, 0, -0.408056496036635
1984-04, 0, -0.408056496036635
1984-05, 0, -0.408056496036635
1984-06, 12, 5.4726995921233
1984-07, 3, 1.06213252600335
1984-08, 3, 1.06213252600335
1984-09, 0, -0.408056496036635
1984-10, 0, -0.408056496036635
1984-11, 0, -0.408056496036635
1984-12, 0, -0.408056496036635
1985-01, 0, -0.408056496036635
1985-02, 0, -0.408056496036635
1985-03, 0, -0.408056496036635
1985-04, 0, -0.408056496036635
1985-05, 0, -0.408056496036635
1985-06, 0, -0.408056496036635
1985-07, 4, 1.55219553335001
1985-08, 1, 0.082006511310026
1985-09, 0, -0.408056496036635
1985-10, 0, -0.408056496036635
1985-11, 0, -0.408056496036635
1985-12, 0, -0.408056496036635
1986-01, 0, -0.408056496036635
1986-02, 0, -0.408056496036635
1986-03, 0, -0.408056496036635
1986-04, 0, -0.408056496036635
1986-05, 0, -0.408056496036635
1986-06, 2, 0.572069518656687
1986-07, 2, 0.572069518656687
1986-08, 0, -0.408056496036635
1986-09, 0, -0.408056496036635
1986-10, 0, -0.408056496036635
1986-11, 0, -0.408056496036635
1986-12, 0, -0.408056496036635
1987-01, 0, -0.408056496036635
1987-02, 0, -0.408056496036635
1987-03, 0, -0.408056496036635
1987-04, 0, -0.408056496036635
1987-05, 0, -0.408056496036635
1987-06, 3, 1.06213252600335
1987-07, 2, 0.572069518656687
1987-08, 0, -0.408056496036635
1987-09, 0, -0.408056496036635
1987-10, 0, -0.408056496036635
1987-11, 0, -0.408056496036635
1987-12, 0, -0.408056496036635
1988-01, 0, -0.408056496036635
1988-02, 0, -0.408056496036635
1988-03, 0, -0.408056496036635
1988-04, 0, -0.408056496036635
1988-05, 2, 0.572069518656687
1988-06, 2, 0.572069518656687
1988-07, 10, 4.49257357742998
1988-08, 4, 1.55219553335001
1988-09, 0, -0.408056496036635
1988-10, 0, -0.408056496036635
1988-11, 0, -0.408056496036635
1988-12, 0, -0.408056496036635
1989-01, 0, -0.408056496036635
1989-02, 0, -0.408056496036635
1989-03, 0, -0.408056496036635
1989-04, 0, -0.408056496036635
1989-05, 0, -0.408056496036635
1989-06, 0, -0.408056496036635
1989-07, 3, 1.06213252600335
1989-08, 2, 0.572069518656687
1989-09, 1, 0.082006511310026
1989-10, 0, -0.408056496036635
1989-11, 0, -0.408056496036635
1989-12, 0, -0.408056496036635
1990-01, 0, -0.408056496036635
1990-02, 0, -0.408056496036635
1990-03, 0, -0.408056496036635
1990-04, 0, -0.408056496036635
1990-05, 0, -0.408056496036635
1990-06, 3, 1.06213252600335
1990-07, 7, 3.02238455538999
1990-08, 0, -0.408056496036635
1990-09, 0, -0.408056496036635
1990-10, 0, -0.408056496036635
1990-11, 0, -0.408056496036635
1990-12, 0, -0.408056496036635
1991-01, 0, -0.408056496036635
1991-02, 0, -0.408056496036635
1991-03, 0, -0.408056496036635
1991-04, 0, -0.408056496036635
1991-05, 1, 0.082006511310026
1991-06, 2, 0.572069518656687
1991-07, 4, 1.55219553335001
1991-08, 6, 2.53232154804333
1991-09, 0, -0.408056496036635
1991-10, 0, -0.408056496036635
1991-11, 0, -0.408056496036635
1991-12, 0, -0.408056496036635
1992-01, 0, -0.408056496036635
1992-02, 0, -0.408056496036635
1992-03, 0, -0.408056496036635
1992-04, 0, -0.408056496036635
1992-05, 3, 1.06213252600335
1992-06, 6, 2.53232154804333
1992-07, 11, 4.98263658477664
1992-08, 1, 0.082006511310026
1992-09, 0, -0.408056496036635
1992-10, 0, -0.408056496036635
1992-11, 0, -0.408056496036635
1992-12, 0, -0.408056496036635
1993-01, 0, -0.408056496036635
1993-02, 0, -0.408056496036635
1993-03, 0, -0.408056496036635
1993-04, 0, -0.408056496036635
1993-05, 4, 1.55219553335001
1993-06, 2, 0.572069518656687
1993-07, 2, 0.572069518656687
1993-08, 3, 1.06213252600335
1993-09, 0, -0.408056496036635
1993-10, 0, -0.408056496036635
1993-11, 0, -0.408056496036635
1993-12, 0, -0.408056496036635
1994-01, 0, -0.408056496036635
1994-02, 0, -0.408056496036635
1994-03, 0, -0.408056496036635
1994-04, 0, -0.408056496036635
1994-05, 0, -0.408056496036635
1994-06, 1, 0.082006511310026
1994-07, 2, 0.572069518656687
1994-08, 3, 1.06213252600335
1994-09, 0, -0.408056496036635
1994-10, 0, -0.408056496036635
1994-11, 0, -0.408056496036635
1994-12, 0, -0.408056496036635
1995-01, 0, -0.408056496036635
1995-02, 0, -0.408056496036635
1995-03, 0, -0.408056496036635
1995-04, 0, -0.408056496036635
1995-05, 0, -0.408056496036635
1995-06, 3, 1.06213252600335
1995-07, 12, 5.4726995921233
1995-08, 7, 3.02238455538999
1995-09, 0, -0.408056496036635
1995-10, 0, -0.408056496036635
1995-11, 0, -0.408056496036635
1995-12, 0, -0.408056496036635
1996-01, 0, -0.408056496036635
1996-02, 0, -0.408056496036635
1996-03, 0, -0.408056496036635
1996-04, 0, -0.408056496036635
1996-05, 0, -0.408056496036635
1996-06, 9, 4.00251057008332
1996-07, 1, 0.082006511310026
1996-08, 0, -0.408056496036635
1996-09, 0, -0.408056496036635
1996-10, 0, -0.408056496036635
1996-11, 0, -0.408056496036635
1996-12, 0, -0.408056496036635
1997-01, 0, -0.408056496036635
1997-02, 0, -0.408056496036635
1997-03, 0, -0.408056496036635
1997-04, 0, -0.408056496036635
1997-05, 0, -0.408056496036635
1997-06, 1, 0.082006511310026
1997-07, 0, -0.408056496036635
1997-08, 4, 1.55219553335001
1997-09, 0, -0.408056496036635
1997-10, 0, -0.408056496036635
1997-11, 0, -0.408056496036635
1997-12, 0, -0.408056496036635
1998-01, 0, -0.408056496036635
1998-02, 0, -0.408056496036635
1998-03, 0, -0.408056496036635
1998-04, 0, -0.408056496036635
1998-05, 0, -0.408056496036635
1998-06, 1, 0.082006511310026
1998-07, 1, 0.082006511310026
1998-08, 0, -0.408056496036635
1998-09, 0, -0.408056496036635
1998-10, 0, -0.408056496036635
1998-11, 0, -0.408056496036635
1998-12, 0, -0.408056496036635
1999-01, 0, -0.408056496036635
1999-02, 0, -0.408056496036635
1999-03, 0, -0.408056496036635
1999-04, 0, -0.408056496036635
1999-05, 0, -0.408056496036635
1999-06, 5, 2.04225854069667
1999-07, 7, 3.02238455538999
1999-08, 0, -0.408056496036635
1999-09, 0, -0.408056496036635
1999-10, 0, -0.408056496036635
1999-11, 0, -0.408056496036635
1999-12, 0, -0.408056496036635
2000-01, 0, -0.408056496036635
2000-02, 0, -0.408056496036635
2000-03, 0, -0.408056496036635
2000-04, 0, -0.408056496036635
2000-05, 0, -0.408056496036635
2000-06, 2, 0.572069518656687
2000-07, 7, 3.02238455538999
2000-08, 1, 0.082006511310026
2000-09, 0, -0.408056496036635
2000-10, 0, -0.408056496036635
2000-11, 0, -0.408056496036635
2000-12, 0, -0.408056496036635
2001-01, 0, -0.408056496036635
2001-02, 0, -0.408056496036635
2001-03, 0, -0.408056496036635
2001-04, 0, -0.408056496036635
2001-05, 0, -0.408056496036635
2001-06, 3, 1.06213252600335
2001-07, 4, 1.55219553335001
2001-08, 1, 0.082006511310026
2001-09, 0, -0.408056496036635
2001-10, 0, -0.408056496036635
2001-11, 0, -0.408056496036635
2001-12, 0, -0.408056496036635
2002-01, 0, -0.408056496036635
2002-02, 0, -0.408056496036635
2002-03, 0, -0.408056496036635
2002-04, 0, -0.408056496036635
2002-05, 1, 0.082006511310026
2002-06, 9, 4.00251057008332
2002-07, 5, 2.04225854069667
2002-08, 1, 0.082006511310026
2002-09, 0, -0.408056496036635
2002-10, 0, -0.408056496036635
2002-11, 0, -0.408056496036635
2002-12, 0, -0.408056496036635
2003-01, 0, -0.408056496036635
2003-02, 0, -0.408056496036635
2003-03, 0, -0.408056496036635
