"Description: ","Monthly warmest daily TN"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, tnx, normalised (all years)
1979-01, 11.8, 0.571102400343832
1979-02, 12.7, 0.965746535813626
1979-03, 10.9, 0.176458264874039
1979-04, 10, -0.218185870595755
1979-05, 9.9, -0.262035218981288
1979-06, 6.8, -1.6213650189328
1979-07, 9.3, -0.525131309294483
1979-08, 9.6, -0.393583264137886
1979-09, 8.5, -0.875926096378745
1979-10, 9.1, -0.612830006065549
1979-11, 12.3, 0.790349142271496
1979-12, 13.2, 1.18499327774129
1980-01, 15.4, 2.14967894222301
1980-02, 14.8, 1.88658285190981
1980-03, 12, 0.658801097114897
1980-04, 10.8, 0.132608916488506
1980-05, 11.6, 0.483403703572767
1980-06, 8.7, -0.78822739960768
1980-07, 8, -1.09517283830641
1980-08, 8.3, -0.96362479314981
1980-09, 7.3, -1.40211827700514
1980-10, 8.2, -1.00747414153534
1980-11, 9.3, -0.525131309294483
1980-12, 13.6, 1.36039067128342
1981-01, 14.6, 1.79888415513875
1981-02, 12.4, 0.834198490657028
1981-03, 13.1, 1.14114392935576
1981-04, 10.5, 0.00106087133190786
1981-05, 11.1, 0.264156961645104
1981-06, 8.7, -0.78822739960768
1981-07, 10.2, -0.13048717382469
1981-08, 7.5, -1.31441958023407
1981-09, 9, -0.656679354451082
1981-10, 10, -0.218185870595755
1981-11, 9.6, -0.393583264137886
1981-12, 11.5, 0.439554355187234
1982-01, 12.8, 1.00959588419916
1982-02, 12.4, 0.834198490657028
1982-03, 12.4, 0.834198490657028
1982-04, 11.2, 0.308006310030636
1982-05, 10.5, 0.00106087133190786
1982-06, 9.3, -0.525131309294483
1982-07, 9.7, -0.349733915752354
1982-08, 8, -1.09517283830641
1982-09, 9.7, -0.349733915752354
1982-10, 8.8, -0.744378051222147
1982-11, 8.8, -0.744378051222147
1982-12, 12.1, 0.70265044550043
1983-01, 15, 1.97428154868088
1983-02, 13, 1.09729458097022
1983-03, 11.4, 0.395705006801702
1983-04, 10.6, 0.0449102197174403
1983-05, 8.2, -1.00747414153534
1983-06, 9.6, -0.393583264137886
1983-07, 7.8, -1.18287153507747
1983-08, 8.5, -0.875926096378745
1983-09, 7.7, -1.22672088346301
1983-10, 9.4, -0.481281960908951
1983-11, 10.7, 0.0887595681029728
1983-12, 12.9, 1.05344523258469
1984-01, 12.5, 0.878047839042561
1984-02, 12.2, 0.746499793885962
1984-03, 10.6, 0.0449102197174403
1984-04, 10.2, -0.13048717382469
1984-05, 8, -1.09517283830641
1984-06, 8.9, -0.700528702836614
1984-07, 8.9, -0.700528702836614
1984-08, 4.9, -2.45450263825792
1984-09, 8.3, -0.96362479314981
1984-10, 10.2, -0.13048717382469
1984-11, 10.5, 0.00106087133190786
1984-12, 15.2, 2.06198024545194
1985-01, 12.5, 0.878047839042561
1985-02, 13.4, 1.27269197451235
1985-03, 12.1, 0.70265044550043
1985-04, 9.9, -0.262035218981288
1985-05, 9.4, -0.481281960908951
1985-06, 9.1, -0.612830006065549
1985-07, 9.8, -0.30588456736682
1985-08, 8.3, -0.96362479314981
1985-09, 7.8, -1.18287153507747
1985-10, 9.6, -0.393583264137886
1985-11, 11.5, 0.439554355187234
1985-12, 11.9, 0.614951748729365
1986-01, 12.6, 0.921897187428093
1986-02, 13.7, 1.40424001966895
1986-03, 10.1, -0.174336522210223
1986-04, 12.1, 0.70265044550043
1986-05, 10.5, 0.00106087133190786
1986-06, 9.2, -0.568980657680017
1986-07, 8.4, -0.919775444764277
1986-08, 8.7, -0.78822739960768
1986-09, 9.3, -0.525131309294483
1986-10, 9.9, -0.262035218981288
1986-11, 10.4, -0.0427884770536246
1986-12, 11.3, 0.351855658416169
1987-01, 13.5, 1.31654132289789
1987-02, 13.6, 1.36039067128342
1987-03, 14.5, 1.75503480675321
1987-04, 10.3, -0.0866378254391571
1987-05, 8.6, -0.832076747993212
1987-06, 11.4, 0.395705006801702
1987-07, 9.4, -0.481281960908951
1987-08, 7.8, -1.18287153507747
1987-09, 7.6, -1.27057023184854
1987-10, 9.7, -0.349733915752354
1987-11, 12.5, 0.878047839042561
1987-12, 11.7, 0.527253051958299
1988-01, 12.4, 0.834198490657028
1988-02, 13.1, 1.14114392935576
1988-03, 13.8, 1.44808936805449
1988-04, 10.3, -0.0866378254391571
1988-05, 11.7, 0.527253051958299
1988-06, 7.7, -1.22672088346301
1988-07, 7.6, -1.27057023184854
1988-08, 8, -1.09517283830641
1988-09, 6.7, -1.66521436731833
1988-10, 8.9, -0.700528702836614
1988-11, 9.7, -0.349733915752354
1988-12, 11.9, 0.614951748729365
1989-01, 13.6, 1.36039067128342
1989-02, 12.8, 1.00959588419916
1989-03, 11.1, 0.264156961645104
1989-04, 9.1, -0.612830006065549
1989-05, 7.7, -1.22672088346301
1989-06, 9, -0.656679354451082
1989-07, 7.9, -1.13902218669194
1989-08, 7.3, -1.40211827700514
1989-09, 6.5, -1.7529130640894
1989-10, 9.9, -0.262035218981288
1989-11, 9.8, -0.30588456736682
1989-12, 13.7, 1.40424001966895
1990-01, 12, 0.658801097114897
1990-02, 15.2, 2.06198024545194
1990-03, 10.9, 0.176458264874039
1990-04, 12.3, 0.790349142271496
1990-05, 9.8, -0.30588456736682
1990-06, 7.3, -1.40211827700514
1990-07, 8.2, -1.00747414153534
1990-08, 9.5, -0.437432612523419
1990-09, 8.6, -0.832076747993212
1990-10, 9.8, -0.30588456736682
1990-11, 9, -0.656679354451082
1990-12, 11.4, 0.395705006801702
1991-01, 12.9, 1.05344523258469
1991-02, 14.8, 1.88658285190981
1991-03, 10.7, 0.0887595681029728
1991-04, 11.7, 0.527253051958299
1991-05, 10.6, 0.0449102197174403
1991-06, 7.6, -1.27057023184854
1991-07, 7.9, -1.13902218669194
1991-08, 8, -1.09517283830641
1991-09, 8, -1.09517283830641
1991-10, 9.3, -0.525131309294483
1991-11, 9.7, -0.349733915752354
1991-12, 12.5, 0.878047839042561
1992-01, 14.7, 1.84273350352428
1992-02, 11.3, 0.351855658416169
1992-03, 13.3, 1.22884262612682
1992-04, 11, 0.220307613259571
1992-05, 9.1, -0.612830006065549
1992-06, 7.8, -1.18287153507747
1992-07, 6.7, -1.66521436731833
1992-08, 7.8, -1.18287153507747
1992-09, 7.3, -1.40211827700514
1992-10, 8.8, -0.744378051222147
1992-11, 11.6, 0.483403703572767
1992-12, 11.4, 0.395705006801702
1993-01, 14.5, 1.75503480675321
1993-02, 12.9, 1.05344523258469
1993-03, 14, 1.53578806482555
1993-04, 11.2, 0.308006310030636
1993-05, 11.9, 0.614951748729365
1993-06, 10, -0.218185870595755
1993-07, 9.6, -0.393583264137886
1993-08, 8.6, -0.832076747993212
1993-09, 8.1, -1.05132348992088
1993-10, 10.2, -0.13048717382469
1993-11, 9.9, -0.262035218981288
1993-12, 11.7, 0.527253051958299
1994-01, 13.1, 1.14114392935576
1994-02, 11.7, 0.527253051958299
1994-03, 11, 0.220307613259571
1994-04, 12.1, 0.70265044550043
1994-05, 11, 0.220307613259571
1994-06, 9.9, -0.262035218981288
1994-07, 9.7, -0.349733915752354
1994-08, 7.1, -1.4898169737762
1994-09, 9.3, -0.525131309294483
1994-10, 11.1, 0.264156961645104
1994-11, 10.9, 0.176458264874039
1994-12, 12.8, 1.00959588419916
1995-01, 12.1, 0.70265044550043
1995-02, 11.7, 0.527253051958299
1995-03, 10.2, -0.13048717382469
1995-04, 12.8, 1.00959588419916
1995-05, 11.3, 0.351855658416169
1995-06, 10.4, -0.0427884770536246
1995-07, 7.6, -1.27057023184854
1995-08, 8.3, -0.96362479314981
1995-09, 8.6, -0.832076747993212
1995-10, 8.2, -1.00747414153534
1995-11, 11, 0.220307613259571
1995-12, 14.8, 1.88658285190981
1996-01, 11.5, 0.439554355187234
1996-02, 12.7, 0.965746535813626
1996-03, 13.3, 1.22884262612682
1996-04, 8.7, -0.78822739960768
1996-05, 9.9, -0.262035218981288
1996-06, 7.9, -1.13902218669194
1996-07, 7.7, -1.22672088346301
1996-08, 8.4, -0.919775444764277
1996-09, 9, -0.656679354451082
1996-10, 8, -1.09517283830641
1996-11, 11.3, 0.351855658416169
1996-12, 12.5, 0.878047839042561
1997-01, 14.3, 1.66733610998215
1997-02, 10.4, -0.0427884770536246
1997-03, 12.9, 1.05344523258469
1997-04, 13, 1.09729458097022
1997-05, 10.1, -0.174336522210223
1997-06, 9.3, -0.525131309294483
1997-07, 10.9, 0.176458264874039
1997-08, 10.6, 0.0449102197174403
1997-09, 9.3, -0.525131309294483
1997-10, 9.9, -0.262035218981288
1997-11, 11.9, 0.614951748729365
1997-12, 11.8, 0.571102400343832
1998-01, 12.6, 0.921897187428093
1998-02, 16, 2.4127750325362
1998-03, 12.6, 0.921897187428093
1998-04, 10.2, -0.13048717382469
