"Description: ","Heatwave definitions and aspects"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, HWM, HWA, HWN, HWD, HWF
1979, 25.8666666666667, 25.9, 1, 3, 3
1980, 28.2666666666667, 28.5, 1, 3, 3
1981, 29, 30, 1, 4, 4
1982, 31.0766666666667, 33.9, 2, 5, 8
1983, 28.0431547619048, 33.8, 4, 7, 16
1984, 26.6833333333333, 28.2, 2, 3, 6
1985, 26.605, 31.2, 2, 6, 11
1986, 28.4333333333333, 30.3, 2, 3, 6
1987, -99.9, -99.9, 0, -99.9, 0
1988, 29.9, 32.1, 2, 3, 6
1989, -99.9, -99.9, 0, -99.9, 0
1990, 26.2, 27.3, 1, 4, 4
1991, -99.9, -99.9, 0, -99.9, 0
1992, -99.9, -99.9, 0, -99.9, 0
1993, 28.8333333333333, 30.6, 1, 3, 3
1994, 27.2, 27.6, 1, 3, 3
1995, 29.74, 31.6, 1, 5, 5
1996, 28.0483333333333, 31.2, 4, 5, 16
1997, 29.47, 33.1, 3, 5, 12
1998, 28.5666666666667, 33.2, 4, 4, 12
1999, -99.9, -99.9, 0, -99.9, 0
2000, 24.9333333333333, 25.9, 1, 3, 3
2001, 29.79375, 32.9, 4, 4, 14
2002, -99.9, -99.9, 0, -99.9, 0
2003, 32.5, 35, 2, 3, 6
2004, 32.9666666666667, 34.9, 1, 3, 3
2005, 24.1, 24.6, 1, 3, 3
2006, 25.5666666666667, 28.4, 1, 3, 3
2007, 30.9833333333333, 34.4, 4, 4, 14
2008, 29.7976666666667, 32.4, 5, 5, 18
2009, -99.9, -99.9, 0, -99.9, 0
2010, 31.35, 34.3, 2, 3, 6
2011, 29.08125, 31.7, 2, 8, 12
2012, 29.6125, 34.2, 4, 4, 14
2013, 29.405, 31.3, 2, 10, 13
2014, 27.1809523809524, 28, 2, 7, 10
2015, 28.2541666666667, 32, 6, 4, 20
2016, 29.0375, 35.2, 2, 5, 9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 30.7833333333333, 36.9, 2, 3, 6
2019, 28.66, 33.1, 5, 3, 15
2020, -99.9, -99.9, -99.9, -99.9, -99.9
