"Description: ","Annual warmest daily TX"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, txx, normalised (all years)
1979, 29.3, -1.55008165398252
1980, 30, -1.19728749482869
1981, 28.5, -1.95327497872976
1982, 32.4, 0.0122924794130251
1983, 33.9, 0.768279963314095
1984, 33.8, 0.717880797720689
1985, 31.2, -0.59249750770783
1986, 29.9, -1.24768666042209
1987, 31, -0.693295838894639
1988, 32.6, 0.113090810599836
1989, 32.1, -0.138905017367187
1990, 35.1, 1.37306995043495
1991, 34.1, 0.869078294500906
1992, 29.6, -1.3988841572023
1993, 31.3, -0.542098342114425
1994, 31.2, -0.59249750770783
1995, 31.6, -0.390900845334211
1996, 31.8, -0.290102514147402
1997, 31.2, -0.59249750770783
1998, 33.1, 0.365086638566859
1999, 33.4, 0.516284135347072
2000, 29.4, -1.49968248838911
2001, 31, -0.693295838894639
2002, 34.1, 0.869078294500906
2003, 30.1, -1.14688832923528
2004, 35, 1.32267078484155
2005, 34.9, 1.27227161924814
2006, 34, 0.8186791289075
2007, 34.1, 0.869078294500906
2008, 34.4, 1.02027579128112
2009, 33.2, 0.415485804160264
2010, 29.6, -1.3988841572023
2011, 34.3, 0.969876625687713
2012, 32.8, 0.213889141786643
2013, 34.2, 0.919477460094311
2014, 31.3, -0.542098342114425
2015, 32.7, 0.163489976193241
2016, 32, -0.189304182960593
2017, 35.2, 1.42346911602836
2018, 31.1, -0.642896673301234
2019, 36.9, 2.28025493111623
2020, -99.9, -99.9
