tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
19.9, 20.7333333333333, 24.1, 27.9, 29.2, 6.35, 6.91666666666667, 8.95, 11.4, 12.5, 13.625, 14.5083333333333, 16.55, 18.925, 19.8125, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.8, 27.8333333333333, 18.95
20.08, 20.6266666666667, 24.1, 28, 29.22, 6.4, 7, 8.9, 11.4733333333333, 12.3, 13.67, 14.3766666666667, 16.7, 19.0966666666667, 19.86, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.7233333333333, 27.8233333333333, 18.95
20.1, 20.5366666666667, 23.9, 28.0633333333333, 29.43, 6.6, 7.13666666666667, 9.2, 11.7633333333333, 12.5, 13.8775, 14.6, 16.6, 19.1133333333333, 19.9075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.7133333333333, 27.8, 19
20.1, 20.5366666666667, 23.8, 27.9633333333333, 29.63, 6.585, 6.93666666666667, 9, 11.4633333333333, 12.315, 13.8775, 14.3866666666667, 16.5, 18.95, 19.9075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.8, 27.8, 19.0016666666667
20.1, 20.5, 23.8, 27.7633333333333, 29.46, 6.585, 6.93666666666667, 9.1, 11.7, 12.3, 13.985, 14.45, 16.7, 18.95, 19.865, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.8, 27.8, 19.05
19.9, 20.4, 23.9, 27.5266666666667, 28.815, 6.5, 6.83666666666667, 9.1, 11.7633333333333, 12.415, 13.8775, 14.3183333333333, 16.7, 18.95, 19.365, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.8, 27.9, 19.1916666666667
19.885, 20.3, 24, 27.6633333333333, 28.49, 6.585, 6.83666666666667, 9.15, 11.5, 12.5, 13.8775, 14.3866666666667, 16.725, 18.95, 19.3225, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.9, 27.9, 19.3
19.67, 20.3366666666667, 24.15, 27.5633333333333, 28.315, 6.485, 6.8, 9.15, 11.8, 12.6, 13.5425, 14.2683333333333, 16.8, 19.05, 19.495, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12, 28, 19.3816666666667
19.785, 20.5366666666667, 24.25, 27.6, 28.3, 6.47, 6.8, 9.4, 11.8633333333333, 12.615, 13.785, 14.3183333333333, 16.9, 19.2316666666667, 19.5375, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12, 28.0633333333333, 19.3816666666667
19.7, 20.5, 24.1, 27.8633333333333, 29.03, 6.285, 6.8, 9.35, 11.9, 12.645, 13.885, 14.2, 16.85, 19.3, 19.88, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.0633333333333, 28.1, 19.4
19.87, 20.8366666666667, 24.1, 28.0633333333333, 30.1, 6.285, 6.83666666666667, 9.3, 12, 12.6, 13.985, 14.25, 16.9, 19.4, 20.6075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.1, 28.3633333333333, 19.4816666666667
20.485, 21.4, 24.2, 28.1, 30.1, 6.285, 6.8, 9.25, 12.6, 13.015, 14.15, 14.3, 16.875, 19.9583333333333, 21.115, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12, 28.5633333333333, 19.5816666666667
20.5, 21.5, 24.4, 29, 30.13, 6.455, 6.93666666666667, 9.35, 12.5, 13, 14.15, 14.355, 16.875, 20.15, 21.2075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.0633333333333, 28.7, 19.8316666666667
20.385, 21.5, 24.4, 29.0633333333333, 30.315, 6.5, 6.93666666666667, 9.4, 12.4266666666667, 13, 14.1925, 14.45, 16.85, 20.15, 21.2075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.2, 28.9, 20.0316666666667
20.755, 21.5, 24.6, 29.1, 30.315, 6.5, 6.83666666666667, 9.4, 12.5633333333333, 13.1, 14.25, 14.5366666666667, 16.85, 20.1316666666667, 21.2075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.2633333333333, 29.0633333333333, 20.05
20.455, 21.5, 24.6, 29.2266666666667, 30.33, 6.5, 6.8, 9.4, 12.4266666666667, 13, 14.1125, 14.5366666666667, 16.875, 20.1, 21.1, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.3, 29.1633333333333, 20.1
20.085, 21.3, 24.8, 29.3633333333333, 30.545, 6.5, 6.83666666666667, 9.5, 11.9633333333333, 12.7, 13.885, 14.6183333333333, 17.1, 20.05, 20.7025, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.3, 29.1, 20.1
19.985, 20.7366666666667, 25, 29.4, 30.83, 6.5, 6.9, 9.65, 11.9633333333333, 12.745, 14.1975, 14.6683333333333, 17.25, 20.1, 21, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.3, 29.1, 20.0816666666667
20.085, 20.7, 25.3, 29.6, 30.83, 6.5, 7, 9.7, 12.2633333333333, 13.13, 14.0975, 14.6683333333333, 17.425, 20.4316666666667, 21.1, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 29.1633333333333, 20.1
