"Description: ","Linear trend statistics"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
fd,annual,1979,2020,-0.157894736842105,0,0.142857142857143
fd,monthly,1979,2020,0,0,0
fd,DJF,1979,2020,0,0,0
fd,MAM,1979,2020,0,0,0
fd,JJA,1979,2020,-0.0490196078431372,0,0.037037037037037
fd,SON,1979,2020,-0.0138888888888889,0,0
tnlt2,annual,1979,2020,-0.238095238095238,0,0.25
tnlt2,monthly,1979,2020,0,0,0
tnlt2,DJF,1979,2020,0,0,0
tnlt2,MAM,1979,2020,-0.0138888888888889,0.0148221343873518,0.0444444444444444
tnlt2,JJA,1979,2020,-0.0714285714285714,0,0.0666666666666664
tnlt2,SON,1979,2020,-0.0185185185185185,0,0.0416666666666667
tnltm2,annual,1979,2020,0,0,0.0666666666666667
tnltm2,monthly,1979,2020,0,0,0
tnltm2,DJF,1979,2020,0,0,0
tnltm2,MAM,1979,2020,0,0,0
tnltm2,JJA,1979,2020,0,0,0.019047619047619
tnltm2,SON,1979,2020,0,0,0
tnltm20,annual,1979,2020,0,0,0
tnltm20,monthly,1979,2020,0,0,0
tnltm20,DJF,1979,2020,0,0,0
tnltm20,MAM,1979,2020,0,0,0
tnltm20,JJA,1979,2020,0,0,0
tnltm20,SON,1979,2020,0,0,0
id,annual,1979,2020,0,0,0
id,monthly,1979,2020,0,0,0
id,DJF,1979,2020,0,0,0
id,MAM,1979,2020,0,0,0
id,JJA,1979,2020,0,0,0
id,SON,1979,2020,0,0,0
su,annual,1979,2020,-0.3125,0.0142857142857143,0.388888888888889
su,monthly,1979,2020,0,0,0
su,DJF,1979,2020,-0.129032258064516,0.127016129032258,0.428571428571429
su,MAM,1979,2020,-0.0833333333333333,0,0.0857142857142857
su,JJA,1979,2020,0,0,0
su,SON,1979,2020,-0.0769230769230769,0,0
tr,annual,1979,2020,0,0,0
tr,monthly,1979,2020,0,0,0
tr,DJF,1979,2020,0,0,0
tr,MAM,1979,2020,0,0,0
tr,JJA,1979,2020,0,0,0
tr,SON,1979,2020,0,0,0
gsl,annual,1979,2020,-0.0434782608695652,0,0
txx,annual,1979,2020,0.00999999999999996,0.0704292527821938,0.126666666666667
txx,monthly,1979,2020,-0.00291005291005291,0.000674157303370788,0.00437500000000002
txx,DJF,1979,2020,0.00500000000000007,0.0679487179487184,0.127272727272727
txx,MAM,1979,2020,-0.0583333333333333,0,0.0500000000000001
txx,JJA,1979,2020,-0.0749999999999999,-0.0379807692307693,-0.00434782608695658
txx,SON,1979,2020,-0.0833333333333333,-0.0188988095238095,0.03125
tnn,annual,1979,2020,-0.0314285714285714,-0.00833333333333332,0.0133333333333333
tnn,monthly,1979,2020,-0.00214285714285714,-0.000265615960944224,0.00148514851485149
tnn,DJF,1979,2020,-0.0285714285714286,-0.00845238095238097,0.0125
tnn,MAM,1979,2020,-0.04,-0.00666666666666667,0.0189189189189189
tnn,JJA,1979,2020,-0.032,-0.00555984555984556,0.02
tnn,SON,1979,2020,-0.00384615384615385,0.02,0.04375
tnx,annual,1979,2020,-0.0199999999999999,0.0116515837104072,0.0500000000000001
