"Description: ","TN > 0"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, TNgt0, normalised (all years)
1979-01, 31, 0.782659485277213
1979-02, 28, -0.399672813293847
1979-03, 31, 0.782659485277213
1979-04, 30, 0.38854871908686
1979-05, 30, 0.38854871908686
1979-06, 23, -2.37022664424561
1979-07, 25, -1.58200511186491
1979-08, 31, 0.782659485277213
1979-09, 28, -0.399672813293847
1979-10, 31, 0.782659485277213
1979-11, 30, 0.38854871908686
1979-12, 31, 0.782659485277213
1980-01, 31, 0.782659485277213
1980-02, 29, -0.00556204710349343
1980-03, 31, 0.782659485277213
1980-04, 29, -0.00556204710349343
1980-05, 31, 0.782659485277213
1980-06, 27, -0.7937835794842
1980-07, 23, -2.37022664424561
1980-08, 29, -0.00556204710349343
1980-09, 30, 0.38854871908686
1980-10, 30, 0.38854871908686
1980-11, 30, 0.38854871908686
1980-12, 31, 0.782659485277213
1981-01, 31, 0.782659485277213
1981-02, 28, -0.399672813293847
1981-03, 31, 0.782659485277213
1981-04, 30, 0.38854871908686
1981-05, 31, 0.782659485277213
1981-06, 29, -0.00556204710349343
1981-07, 26, -1.18789434567455
1981-08, 27, -0.7937835794842
1981-09, 28, -0.399672813293847
1981-10, 31, 0.782659485277213
1981-11, 30, 0.38854871908686
1981-12, 31, 0.782659485277213
1982-01, 31, 0.782659485277213
1982-02, 28, -0.399672813293847
1982-03, 31, 0.782659485277213
1982-04, 30, 0.38854871908686
1982-05, 31, 0.782659485277213
1982-06, 22, -2.76433741043597
1982-07, 27, -0.7937835794842
1982-08, 31, 0.782659485277213
1982-09, 30, 0.38854871908686
1982-10, 31, 0.782659485277213
1982-11, 30, 0.38854871908686
1982-12, 31, 0.782659485277213
1983-01, 31, 0.782659485277213
1983-02, 28, -0.399672813293847
1983-03, 31, 0.782659485277213
1983-04, 30, 0.38854871908686
1983-05, 31, 0.782659485277213
1983-06, 24, -1.97611587805526
1983-07, 20, -3.55255894281667
1983-08, 26, -1.18789434567455
1983-09, 26, -1.18789434567455
1983-10, 31, 0.782659485277213
1983-11, 30, 0.38854871908686
1983-12, 31, 0.782659485277213
1984-01, 31, 0.782659485277213
1984-02, 29, -0.00556204710349343
1984-03, 31, 0.782659485277213
1984-04, 28, -0.399672813293847
1984-05, 31, 0.782659485277213
1984-06, 20, -3.55255894281667
1984-07, 27, -0.7937835794842
1984-08, 27, -0.7937835794842
1984-09, 30, 0.38854871908686
1984-10, 31, 0.782659485277213
1984-11, 30, 0.38854871908686
1984-12, 31, 0.782659485277213
1985-01, 31, 0.782659485277213
1985-02, 28, -0.399672813293847
1985-03, 31, 0.782659485277213
1985-04, 29, -0.00556204710349343
1985-05, 31, 0.782659485277213
1985-06, 30, 0.38854871908686
1985-07, 26, -1.18789434567455
1985-08, 28, -0.399672813293847
1985-09, 26, -1.18789434567455
1985-10, 31, 0.782659485277213
1985-11, 30, 0.38854871908686
1985-12, 31, 0.782659485277213
1986-01, 31, 0.782659485277213
1986-02, 28, -0.399672813293847
1986-03, 31, 0.782659485277213
1986-04, 30, 0.38854871908686
1986-05, 30, 0.38854871908686
1986-06, 28, -0.399672813293847
1986-07, 27, -0.7937835794842
1986-08, 29, -0.00556204710349343
1986-09, 26, -1.18789434567455
1986-10, 31, 0.782659485277213
1986-11, 30, 0.38854871908686
1986-12, 31, 0.782659485277213
1987-01, 31, 0.782659485277213
1987-02, 28, -0.399672813293847
1987-03, 31, 0.782659485277213
1987-04, 30, 0.38854871908686
1987-05, 30, 0.38854871908686
1987-06, 27, -0.7937835794842
1987-07, 28, -0.399672813293847
1987-08, 27, -0.7937835794842
1987-09, 28, -0.399672813293847
1987-10, 31, 0.782659485277213
1987-11, 30, 0.38854871908686
1987-12, 31, 0.782659485277213
1988-01, 31, 0.782659485277213
1988-02, 29, -0.00556204710349343
1988-03, 31, 0.782659485277213
1988-04, 30, 0.38854871908686
1988-05, 29, -0.00556204710349343
1988-06, 25, -1.58200511186491
1988-07, 22, -2.76433741043597
1988-08, 27, -0.7937835794842
1988-09, 28, -0.399672813293847
1988-10, 31, 0.782659485277213
1988-11, 30, 0.38854871908686
1988-12, 31, 0.782659485277213
1989-01, 31, 0.782659485277213
1989-02, 28, -0.399672813293847
1989-03, 31, 0.782659485277213
1989-04, 28, -0.399672813293847
1989-05, 29, -0.00556204710349343
1989-06, 30, 0.38854871908686
1989-07, 24, -1.97611587805526
1989-08, 27, -0.7937835794842
1989-09, 27, -0.7937835794842
1989-10, 31, 0.782659485277213
1989-11, 30, 0.38854871908686
1989-12, 31, 0.782659485277213
1990-01, 31, 0.782659485277213
1990-02, 28, -0.399672813293847
1990-03, 31, 0.782659485277213
1990-04, 30, 0.38854871908686
1990-05, 29, -0.00556204710349343
1990-06, 27, -0.7937835794842
1990-07, 25, -1.58200511186491
1990-08, 27, -0.7937835794842
1990-09, 27, -0.7937835794842
1990-10, 31, 0.782659485277213
1990-11, 30, 0.38854871908686
1990-12, 31, 0.782659485277213
1991-01, 31, 0.782659485277213
1991-02, 28, -0.399672813293847
1991-03, 31, 0.782659485277213
1991-04, 30, 0.38854871908686
1991-05, 29, -0.00556204710349343
1991-06, 27, -0.7937835794842
1991-07, 27, -0.7937835794842
1991-08, 23, -2.37022664424561
1991-09, 30, 0.38854871908686
1991-10, 31, 0.782659485277213
1991-11, 30, 0.38854871908686
1991-12, 31, 0.782659485277213
1992-01, 31, 0.782659485277213
1992-02, 29, -0.00556204710349343
1992-03, 31, 0.782659485277213
1992-04, 30, 0.38854871908686
1992-05, 27, -0.7937835794842
1992-06, 25, -1.58200511186491
1992-07, 22, -2.76433741043597
1992-08, 27, -0.7937835794842
1992-09, 28, -0.399672813293847
1992-10, 30, 0.38854871908686
1992-11, 30, 0.38854871908686
1992-12, 31, 0.782659485277213
1993-01, 31, 0.782659485277213
1993-02, 28, -0.399672813293847
1993-03, 31, 0.782659485277213
1993-04, 30, 0.38854871908686
1993-05, 27, -0.7937835794842
1993-06, 27, -0.7937835794842
1993-07, 23, -2.37022664424561
1993-08, 26, -1.18789434567455
1993-09, 29, -0.00556204710349343
1993-10, 31, 0.782659485277213
1993-11, 30, 0.38854871908686
1993-12, 31, 0.782659485277213
1994-01, 31, 0.782659485277213
1994-02, 28, -0.399672813293847
1994-03, 31, 0.782659485277213
1994-04, 30, 0.38854871908686
1994-05, 31, 0.782659485277213
1994-06, 29, -0.00556204710349343
1994-07, 29, -0.00556204710349343
1994-08, 22, -2.76433741043597
1994-09, 28, -0.399672813293847
1994-10, 31, 0.782659485277213
1994-11, 30, 0.38854871908686
1994-12, 31, 0.782659485277213
1995-01, 31, 0.782659485277213
1995-02, 28, -0.399672813293847
1995-03, 31, 0.782659485277213
1995-04, 30, 0.38854871908686
1995-05, 31, 0.782659485277213
1995-06, 26, -1.18789434567455
1995-07, 20, -3.55255894281667
1995-08, 21, -3.15844817662632
1995-09, 27, -0.7937835794842
1995-10, 31, 0.782659485277213
1995-11, 30, 0.38854871908686
1995-12, 31, 0.782659485277213
1996-01, 31, 0.782659485277213
1996-02, 29, -0.00556204710349343
1996-03, 31, 0.782659485277213
1996-04, 30, 0.38854871908686
1996-05, 29, -0.00556204710349343
1996-06, 17, -4.73489124138773
1996-07, 28, -0.399672813293847
1996-08, 30, 0.38854871908686
1996-09, 30, 0.38854871908686
1996-10, 31, 0.782659485277213
1996-11, 30, 0.38854871908686
1996-12, 31, 0.782659485277213
1997-01, 31, 0.782659485277213
1997-02, 28, -0.399672813293847
1997-03, 31, 0.782659485277213
1997-04, 30, 0.38854871908686
1997-05, 30, 0.38854871908686
1997-06, 30, 0.38854871908686
1997-07, 27, -0.7937835794842
1997-08, 24, -1.97611587805526
1997-09, 29, -0.00556204710349343
1997-10, 31, 0.782659485277213
1997-11, 30, 0.38854871908686
1997-12, 31, 0.782659485277213
1998-01, 31, 0.782659485277213
1998-02, 28, -0.399672813293847
1998-03, 31, 0.782659485277213
1998-04, 30, 0.38854871908686
1998-05, 31, 0.782659485277213
1998-06, 29, -0.00556204710349343
1998-07, 29, -0.00556204710349343
1998-08, 27, -0.7937835794842
1998-09, 28, -0.399672813293847
1998-10, 31, 0.782659485277213
1998-11, 30, 0.38854871908686
1998-12, 31, 0.782659485277213
1999-01, 31, 0.782659485277213
1999-02, 28, -0.399672813293847
1999-03, 31, 0.782659485277213
1999-04, 30, 0.38854871908686
1999-05, 31, 0.782659485277213
1999-06, 22, -2.76433741043597
1999-07, 22, -2.76433741043597
1999-08, 29, -0.00556204710349343
1999-09, 30, 0.38854871908686
1999-10, 31, 0.782659485277213
1999-11, 30, 0.38854871908686
1999-12, 31, 0.782659485277213
2000-01, 31, 0.782659485277213
2000-02, 29, -0.00556204710349343
2000-03, 31, 0.782659485277213
2000-04, 30, 0.38854871908686
2000-05, 31, 0.782659485277213
2000-06, 28, -0.399672813293847
2000-07, 23, -2.37022664424561
2000-08, 28, -0.399672813293847
2000-09, 28, -0.399672813293847
2000-10, 31, 0.782659485277213
2000-11, 30, 0.38854871908686
2000-12, 31, 0.782659485277213
2001-01, 31, 0.782659485277213
2001-02, 28, -0.399672813293847
2001-03, 31, 0.782659485277213
2001-04, 30, 0.38854871908686
2001-05, 31, 0.782659485277213
2001-06, 27, -0.7937835794842
2001-07, 26, -1.18789434567455
2001-08, 26, -1.18789434567455
2001-09, 27, -0.7937835794842
2001-10, 31, 0.782659485277213
2001-11, 30, 0.38854871908686
2001-12, 31, 0.782659485277213
2002-01, 31, 0.782659485277213
2002-02, 28, -0.399672813293847
2002-03, 31, 0.782659485277213
2002-04, 30, 0.38854871908686
2002-05, 29, -0.00556204710349343
2002-06, 20, -3.55255894281667
2002-07, 23, -2.37022664424561
2002-08, 30, 0.38854871908686
2002-09, 30, 0.38854871908686
2002-10, 31, 0.782659485277213
2002-11, 30, 0.38854871908686
2002-12, 31, 0.782659485277213
2003-01, 31, 0.782659485277213
2003-02, 28, -0.399672813293847
2003-03, 31, 0.782659485277213
2003-04, 30, 0.38854871908686
2003-05, 30, 0.38854871908686
2003-06, 27, -0.7937835794842
2003-07, 26, -1.18789434567455
2003-08, 27, -0.7937835794842
2003-09, 29, -0.00556204710349343
2003-10, 31, 0.782659485277213
2003-11, 30, 0.38854871908686
2003-12, 31, 0.782659485277213
2004-01, 31, 0.782659485277213
2004-02, 29, -0.00556204710349343
2004-03, 31, 0.782659485277213
2004-04, 30, 0.38854871908686
2004-05, 30, 0.38854871908686
2004-06, 28, -0.399672813293847
2004-07, 30, 0.38854871908686
2004-08, 26, -1.18789434567455
2004-09, 26, -1.18789434567455
2004-10, 31, 0.782659485277213
2004-11, 30, 0.38854871908686
2004-12, 31, 0.782659485277213
2005-01, 31, 0.782659485277213
2005-02, 28, -0.399672813293847
2005-03, 31, 0.782659485277213
2005-04, 30, 0.38854871908686
2005-05, 30, 0.38854871908686
2005-06, 26, -1.18789434567455
2005-07, 25, -1.58200511186491
2005-08, 28, -0.399672813293847
2005-09, 28, -0.399672813293847
2005-10, 31, 0.782659485277213
2005-11, 30, 0.38854871908686
2005-12, 31, 0.782659485277213
2006-01, 31, 0.782659485277213
2006-02, 28, -0.399672813293847
2006-03, 31, 0.782659485277213
2006-04, 30, 0.38854871908686
2006-05, 27, -0.7937835794842
2006-06, 29, -0.00556204710349343
2006-07, 28, -0.399672813293847
2006-08, 27, -0.7937835794842
2006-09, 27, -0.7937835794842
2006-10, 31, 0.782659485277213
2006-11, 30, 0.38854871908686
2006-12, 31, 0.782659485277213
2007-01, 31, 0.782659485277213
2007-02, 28, -0.399672813293847
2007-03, 31, 0.782659485277213
2007-04, 30, 0.38854871908686
2007-05, 29, -0.00556204710349343
2007-06, 25, -1.58200511186491
2007-07, 24, -1.97611587805526
2007-08, 13, -6.31133430614915
2007-09, 30, 0.38854871908686
2007-10, 31, 0.782659485277213
2007-11, 30, 0.38854871908686
2007-12, 31, 0.782659485277213
2008-01, 31, 0.782659485277213
2008-02, 29, -0.00556204710349343
2008-03, 31, 0.782659485277213
2008-04, 29, -0.00556204710349343
2008-05, 27, -0.7937835794842
2008-06, 28, -0.399672813293847
2008-07, 29, -0.00556204710349343
2008-08, 28, -0.399672813293847
2008-09, 27, -0.7937835794842
2008-10, 31, 0.782659485277213
2008-11, 30, 0.38854871908686
2008-12, 31, 0.782659485277213
2009-01, 31, 0.782659485277213
2009-02, 28, -0.399672813293847
2009-03, 31, 0.782659485277213
2009-04, 30, 0.38854871908686
2009-05, 31, 0.782659485277213
2009-06, 25, -1.58200511186491
2009-07, 22, -2.76433741043597
2009-08, 29, -0.00556204710349343
2009-09, 26, -1.18789434567455
2009-10, 30, 0.38854871908686
2009-11, 30, 0.38854871908686
2009-12, 31, 0.782659485277213
2010-01, 31, 0.782659485277213
2010-02, 28, -0.399672813293847
2010-03, 31, 0.782659485277213
2010-04, 30, 0.38854871908686
2010-05, 29, -0.00556204710349343
2010-06, 30, 0.38854871908686
2010-07, 25, -1.58200511186491
2010-08, 25, -1.58200511186491
2010-09, 28, -0.399672813293847
2010-10, 31, 0.782659485277213
2010-11, 30, 0.38854871908686
2010-12, 31, 0.782659485277213
2011-01, 31, 0.782659485277213
2011-02, 28, -0.399672813293847
2011-03, 31, 0.782659485277213
2011-04, 30, 0.38854871908686
2011-05, 29, -0.00556204710349343
2011-06, 26, -1.18789434567455
2011-07, 21, -3.15844817662632
2011-08, 25, -1.58200511186491
2011-09, 30, 0.38854871908686
2011-10, 31, 0.782659485277213
2011-11, 30, 0.38854871908686
2011-12, 31, 0.782659485277213
2012-01, 31, 0.782659485277213
2012-02, 29, -0.00556204710349343
2012-03, 31, 0.782659485277213
2012-04, 30, 0.38854871908686
2012-05, 28, -0.399672813293847
2012-06, 23, -2.37022664424561
2012-07, 21, -3.15844817662632
2012-08, 28, -0.399672813293847
2012-09, 30, 0.38854871908686
2012-10, 31, 0.782659485277213
2012-11, 30, 0.38854871908686
2012-12, 31, 0.782659485277213
2013-01, 31, 0.782659485277213
2013-02, 28, -0.399672813293847
2013-03, 31, 0.782659485277213
2013-04, 30, 0.38854871908686
2013-05, 30, 0.38854871908686
2013-06, 26, -1.18789434567455
2013-07, 24, -1.97611587805526
2013-08, 24, -1.97611587805526
2013-09, 28, -0.399672813293847
2013-10, 31, 0.782659485277213
2013-11, 30, 0.38854871908686
2013-12, 31, 0.782659485277213
2014-01, 31, 0.782659485277213
2014-02, 28, -0.399672813293847
2014-03, 31, 0.782659485277213
2014-04, 30, 0.38854871908686
2014-05, 31, 0.782659485277213
2014-06, 28, -0.399672813293847
2014-07, 29, -0.00556204710349343
2014-08, 29, -0.00556204710349343
2014-09, 30, 0.38854871908686
2014-10, 31, 0.782659485277213
2014-11, 30, 0.38854871908686
2014-12, 31, 0.782659485277213
2015-01, 31, 0.782659485277213
2015-02, 28, -0.399672813293847
2015-03, 31, 0.782659485277213
2015-04, 30, 0.38854871908686
2015-05, 30, 0.38854871908686
2015-06, 27, -0.7937835794842
2015-07, 27, -0.7937835794842
2015-08, 29, -0.00556204710349343
2015-09, 27, -0.7937835794842
2015-10, 31, 0.782659485277213
2015-11, 30, 0.38854871908686
2015-12, 31, 0.782659485277213
2016-01, 31, 0.782659485277213
2016-02, 29, -0.00556204710349343
2016-03, 31, 0.782659485277213
2016-04, 30, 0.38854871908686
2016-05, 31, 0.782659485277213
2016-06, 27, -0.7937835794842
2016-07, 28, -0.399672813293847
2016-08, 30, 0.38854871908686
2016-09, 29, -0.00556204710349343
2016-10, 31, 0.782659485277213
2016-11, 30, 0.38854871908686
2016-12, 31, 0.782659485277213
2017-01, 31, 0.782659485277213
2017-02, 28, -0.399672813293847
2017-03, 31, 0.782659485277213
2017-04, 30, 0.38854871908686
2017-05, 25, -1.58200511186491
2017-06, 27, -0.7937835794842
2017-07, 22, -2.76433741043597
2017-08, 27, -0.7937835794842
2017-09, 28, -0.399672813293847
2017-10, 31, 0.782659485277213
2017-11, 30, 0.38854871908686
2017-12, 31, 0.782659485277213
2018-01, 31, 0.782659485277213
2018-02, 28, -0.399672813293847
2018-03, 31, 0.782659485277213
2018-04, 30, 0.38854871908686
2018-05, 31, 0.782659485277213
2018-06, 24, -1.97611587805526
2018-07, 21, -3.15844817662632
2018-08, 26, -1.18789434567455
2018-09, 30, 0.38854871908686
2018-10, 31, 0.782659485277213
2018-11, 30, 0.38854871908686
2018-12, 31, 0.782659485277213
2019-01, 31, 0.782659485277213
2019-02, 28, -0.399672813293847
2019-03, 31, 0.782659485277213
2019-04, 30, 0.38854871908686
2019-05, 30, 0.38854871908686
2019-06, 30, 0.38854871908686
2019-07, 27, -0.7937835794842
2019-08, 29, -0.00556204710349343
2019-09, 28, -0.399672813293847
2019-10, 30, 0.38854871908686
2019-11, 30, 0.38854871908686
2019-12, 31, 0.782659485277213
2020-01, 31, 0.782659485277213
2020-02, 29, -0.00556204710349343
2020-03, 31, 0.782659485277213
2020-04, 30, 0.38854871908686
2020-05, -99.9, -99.9
2020-06, -99.9, -99.9
2020-07, -99.9, -99.9
2020-08, -99.9, -99.9
2020-09, -99.9, -99.9
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
