"Description: ","Heatwave definitions and aspects"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, CWM, CWA, CWN, CWD, CWF
1979, -0.98378703703704, -1.46177777777778, 1, 3, 3
1980, -8.05971428571429, -15.0025, 1, 7, 7
1981, -99.9, -99.9, 0, -99.9, 0
1982, -6.33738958333333, -10.2411111111111, 2, 5, 9
1983, -1.26211959876543, -4.45633333333333, 6, 4, 19
1984, -2.29308553791887, -11.7238333333333, 3, 14, 20
1985, -99.9, -99.9, 0, -99.9, 0
1986, -2.03633333333333, -5.55833333333333, 2, 3, 6
1987, -6.09813541666667, -15.33375, 2, 4, 8
1988, -4.40867098765432, -9.68888888888889, 3, 10, 18
1989, -3.07347407407407, -10.8923611111111, 2, 5, 8
1990, -4.26040277777778, -6.8685, 1, 6, 6
1991, -3.29074398148148, -8.83963888888889, 4, 6, 17
1992, -3.96532746362434, -14.7625277777778, 4, 7, 20
1993, -2.81009027777778, -11.9721111111111, 4, 4, 16
1994, -99.9, -99.9, 0, -99.9, 0
1995, -4.85193406285073, -22.0159722222222, 4, 11, 26
1996, -3.64928055555555, -8.69375, 2, 6, 11
1997, -3.81640393518519, -9.84341666666667, 2, 4, 7
1998, -99.9, -99.9, 0, -99.9, 0
1999, -2.78868333333333, -4.69333333333333, 2, 5, 9
2000, -2.98004375, -8.99769444444445, 2, 5, 9
2001, -2.2837554563492, -5.71361111111111, 2, 7, 11
2002, -3.97686816578483, -9.087, 3, 7, 17
2003, -3.71927777777778, -7.03777777777778, 1, 4, 4
2004, -1.22952777777778, -1.77191666666667, 1, 3, 3
2005, -6.30672222222222, -22.728, 2, 6, 9
2006, -5.86366666666666, -8.42916666666667, 1, 3, 3
2007, -4.42492702020202, -26.4436666666667, 5, 11, 31
2008, -8.668375, -13.4309166666667, 1, 4, 4
2009, -5.88170138888889, -13.5741666666667, 2, 10, 15
2010, -2.46349228395062, -6.84775, 3, 4, 11
2011, -3.23319502314815, -6.93772222222222, 4, 8, 18
2012, -2.94230211640212, -5.35430555555555, 3, 7, 16
2013, -3.54985802469136, -9.83125, 3, 6, 13
2014, -99.9, -99.9, 0, -99.9, 0
2015, -1.09316666666667, -2.115, 1, 3, 3
2016, -0.419212962962963, -1.01955555555556, 1, 3, 3
2017, -7.26892569444444, -16.0227777777778, 4, 5, 16
2018, -3.56745816498317, -9.91972222222222, 3, 11, 20
2019, -2.49548148148148, -6.9525, 2, 3, 6
2020, -99.9, -99.9, -99.9, -99.9, -99.9
