"Description: ","Number of days when precipitation >= 30"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, r30mm, normalised (all years)
1979-01, 0, -0.833593260708444
1979-02, 0, -0.833593260708444
1979-03, 0, -0.833593260708444
1979-04, 0, -0.833593260708444
1979-05, 4, 1.64452084363327
1979-06, 2, 0.405463791462416
1979-07, 4, 1.64452084363327
1979-08, 4, 1.64452084363327
1979-09, 1, -0.214064734623014
1979-10, 1, -0.214064734623014
1979-11, 2, 0.405463791462416
1979-12, 3, 1.02499231754785
1980-01, 0, -0.833593260708444
1980-02, 2, 0.405463791462416
1980-03, 0, -0.833593260708444
1980-04, 4, 1.64452084363327
1980-05, 9, 4.74216347406042
1980-06, 1, -0.214064734623014
1980-07, 1, -0.214064734623014
1980-08, 4, 1.64452084363327
1980-09, 0, -0.833593260708444
1980-10, 0, -0.833593260708444
1980-11, 0, -0.833593260708444
1980-12, 1, -0.214064734623014
1981-01, 1, -0.214064734623014
1981-02, 0, -0.833593260708444
1981-03, 1, -0.214064734623014
1981-04, 2, 0.405463791462416
1981-05, 8, 4.12263494797499
1981-06, 3, 1.02499231754785
1981-07, 1, -0.214064734623014
1981-08, 4, 1.64452084363327
1981-09, 2, 0.405463791462416
1981-10, 1, -0.214064734623014
1981-11, 1, -0.214064734623014
1981-12, 1, -0.214064734623014
1982-01, 2, 0.405463791462416
1982-02, 1, -0.214064734623014
1982-03, 1, -0.214064734623014
1982-04, 1, -0.214064734623014
1982-05, 5, 2.2640493697187
1982-06, 5, 2.2640493697187
1982-07, 5, 2.2640493697187
1982-08, 3, 1.02499231754785
1982-09, 3, 1.02499231754785
1982-10, 1, -0.214064734623014
1982-11, 1, -0.214064734623014
1982-12, 0, -0.833593260708444
1983-01, 0, -0.833593260708444
1983-02, 0, -0.833593260708444
1983-03, 1, -0.214064734623014
1983-04, 2, 0.405463791462416
1983-05, 4, 1.64452084363327
1983-06, 4, 1.64452084363327
1983-07, 4, 1.64452084363327
1983-08, 2, 0.405463791462416
1983-09, 2, 0.405463791462416
1983-10, 1, -0.214064734623014
1983-11, 0, -0.833593260708444
1983-12, 0, -0.833593260708444
1984-01, 0, -0.833593260708444
1984-02, 1, -0.214064734623014
1984-03, 0, -0.833593260708444
1984-04, 1, -0.214064734623014
1984-05, 6, 2.88357789580413
1984-06, 5, 2.2640493697187
1984-07, 5, 2.2640493697187
1984-08, 1, -0.214064734623014
1984-09, 1, -0.214064734623014
1984-10, 2, 0.405463791462416
1984-11, 0, -0.833593260708444
1984-12, 0, -0.833593260708444
1985-01, 1, -0.214064734623014
1985-02, 0, -0.833593260708444
1985-03, 0, -0.833593260708444
1985-04, 1, -0.214064734623014
1985-05, 6, 2.88357789580413
1985-06, 2, 0.405463791462416
1985-07, 0, -0.833593260708444
1985-08, 1, -0.214064734623014
1985-09, 2, 0.405463791462416
1985-10, 1, -0.214064734623014
1985-11, 1, -0.214064734623014
1985-12, 0, -0.833593260708444
1986-01, 1, -0.214064734623014
1986-02, 1, -0.214064734623014
1986-03, 2, 0.405463791462416
1986-04, 2, 0.405463791462416
1986-05, 5, 2.2640493697187
1986-06, 3, 1.02499231754785
1986-07, 1, -0.214064734623014
1986-08, 5, 2.2640493697187
1986-09, 1, -0.214064734623014
1986-10, 2, 0.405463791462416
1986-11, 2, 0.405463791462416
1986-12, 0, -0.833593260708444
1987-01, 0, -0.833593260708444
1987-02, 0, -0.833593260708444
1987-03, 2, 0.405463791462416
1987-04, 0, -0.833593260708444
1987-05, 2, 0.405463791462416
1987-06, 0, -0.833593260708444
1987-07, 5, 2.2640493697187
1987-08, 4, 1.64452084363327
1987-09, 1, -0.214064734623014
1987-10, 2, 0.405463791462416
1987-11, 0, -0.833593260708444
1987-12, 0, -0.833593260708444
1988-01, 1, -0.214064734623014
1988-02, 0, -0.833593260708444
1988-03, 1, -0.214064734623014
1988-04, 1, -0.214064734623014
1988-05, 1, -0.214064734623014
1988-06, 4, 1.64452084363327
1988-07, 2, 0.405463791462416
1988-08, 4, 1.64452084363327
1988-09, 0, -0.833593260708444
1988-10, 1, -0.214064734623014
1988-11, 0, -0.833593260708444
1988-12, 0, -0.833593260708444
1989-01, 0, -0.833593260708444
1989-02, 0, -0.833593260708444
1989-03, 0, -0.833593260708444
1989-04, 0, -0.833593260708444
1989-05, 0, -0.833593260708444
1989-06, 3, 1.02499231754785
1989-07, 5, 2.2640493697187
1989-08, 1, -0.214064734623014
1989-09, 0, -0.833593260708444
1989-10, 0, -0.833593260708444
1989-11, 0, -0.833593260708444
1989-12, 3, 1.02499231754785
1990-01, 0, -0.833593260708444
1990-02, 1, -0.214064734623014
1990-03, 1, -0.214064734623014
1990-04, 3, 1.02499231754785
1990-05, 4, 1.64452084363327
1990-06, 1, -0.214064734623014
