"Description: ","Value of 95th percentile of TX"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, tx95t, normalised (all years)
NA, 29.1, 1.19543663812158
NA, 29.12, 1.19912935649815
NA, 29.23, 1.21943930756929
NA, 29.46, 1.26190556889986
NA, 29.29, 1.23051746269901
NA, 28.745, 1.12989088693745
NA, 28.66, 1.11419683383703
NA, 28.4, 1.06619149494161
NA, 28.43, 1.07173057250646
NA, 29, 1.17697304623873
NA, 30.115, 1.38284209573255
NA, 30.115, 1.38284209573255
NA, 30.215, 1.4013056876154
NA, 30.115, 1.38284209573255
NA, 30.2, 1.39853614883297
NA, 30.23, 1.40407522639783
NA, 30.53, 1.45946600204639
NA, 30.945, 1.53608990836023
NA, 30.945, 1.53608990836023
NA, 31, 1.5462448838958
NA, 30.9, 1.52778129201295
NA, 30.615, 1.47516005514681
NA, 30.13, 1.38561163451498
NA, 29.715, 1.30898772820113
NA, 29.345, 1.24067243823457
NA, 29.3, 1.23236382188729
NA, 29.6, 1.28775459753585
NA, 29.63, 1.29329367510071
NA, 29.8, 1.32468178130156
NA, 29.7, 1.3062181894187
NA, 29.845, 1.33299039764884
NA, 29.93, 1.34868445074927
NA, 31.205, 1.58409524725565
NA, 31.205, 1.58409524725565
NA, 31.83, 1.69949269652349
NA, 30.705, 1.49177728784138
NA, 30.43, 1.44100241016354
NA, 30.515, 1.45669646326396
NA, 31.5, 1.63856284331007
NA, 31.5, 1.63856284331007
NA, 32.075, 1.74472849663648
NA, 32.53, 1.82873783970346
NA, 32.53, 1.82873783970346
NA, 30.565, 1.46592825920539
NA, 30.4, 1.43546333259868
NA, 30.3, 1.41699974071583
NA, 29.515, 1.27206054443543
NA, 29.63, 1.29329367510071
NA, 30.315, 1.41976927949825
NA, 30.53, 1.45946600204639
NA, 30.615, 1.47516005514681
NA, 30.515, 1.45669646326396
NA, 30.015, 1.36437850384969
NA, 29.615, 1.29052413631828
NA, 28.515, 1.08742462560689
NA, 28.5, 1.08465508682446
NA, 28.6, 1.10311867870732
NA, 28.6, 1.10311867870732
NA, 28.6, 1.10311867870732
NA, 28.815, 1.14281540125545
NA, 28.9, 1.15850945435588
NA, 28.645, 1.1114272950546
NA, 28.9, 1.15850945435588
NA, 28.9, 1.15850945435588
NA, 28.16, 1.02187887442276
NA, 28.515, 1.08742462560689
NA, 28.9, 1.15850945435588
NA, 28.645, 1.1114272950546
NA, 28.615, 1.10588821748974
NA, 28.615, 1.10588821748974
NA, 28.215, 1.03203384995833
NA, 27.63, 0.924021837443636
NA, 27.415, 0.884325114895501
NA, 26.99, 0.805854849393373
NA, 26.545, 0.723691865514675
NA, 26.545, 0.723691865514675
NA, 26.275, 0.67384016743097
NA, 26.3, 0.678456065401684
NA, 26.36, 0.689534220531396
NA, 26.715, 0.755079971715526
NA, 26.445, 0.705228273631821
NA, 26.63, 0.7393859186151
NA, 26.915, 0.792007155481233
NA, 27.03, 0.813240286146515
NA, 26.66, 0.744924996179956
NA, 26.515, 0.718152787949819
NA, 26.015, 0.625834828535551
NA, 25.93, 0.610140775435125
NA, 25.9, 0.604601697870269
NA, 25.9, 0.604601697870269
NA, 25.56, 0.541825485468567
NA, 25.33, 0.499359224138004
NA, 23.83, 0.2224053458952
NA, 23.845, 0.225174884677628
NA, 23.845, 0.225174884677628
NA, 24.115, 0.275026582761333
