IHA Percentile Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
9423001,,,,,,
,,,,,,
,Period of Analysis: 1929-2020 ( 38 years),,,,,
,,,Period of Analysis,,,
,10%,25%,50%,75%,90%,(75-25)/50
Parameter Group #1,,,,,,
January,126.8,160.3,190,253,294.6,0.4882
February,109.9,129.5,158.8,188.6,269.1,0.3724
March,101.3,113.8,132.5,159,243.4,0.3415
April,94.5,110,131.3,174.9,292.6,0.4943
May,108.3,135.3,194.5,327.5,435,0.9884
June,146.9,286,403.5,561.5,766.7,0.6828
July,195.8,342.9,505,640,780,0.5883
August,289.8,354.8,456,659.5,777.2,0.6683
September,284.7,328.3,380.3,507.3,597.7,0.4707
October,236.1,279.5,383,443.5,493.6,0.4282
November,188.4,247,319.3,395.5,459.3,0.4652
December,156.3,199.3,247,331.6,464.7,0.5357
,,,,,,
Parameter Group #2,,,,,,
1-day minimum,88,101.8,114,130.3,196,0.25
3-day minimum,88,101.8,114.5,132,197,0.2642
7-day minimum,88,102,116.4,135.9,198.8,0.2917
30-day minimum,90.93,106.5,121.5,147,217.9,0.3333
90-day minimum,98.28,114.9,136.2,168.1,236.6,0.3909
1-day maximum,430.2,600.8,797,925.8,1200,0.4078
3-day maximum,428,569.7,742.8,909.6,1182,0.4576
7-day maximum,415,549.2,722.6,897.8,1119,0.4824
30-day maximum,365.6,501.3,604,793.5,959.2,0.4838
90-day maximum,301.1,411.5,495,650.8,776.6,0.4835
Number of zero days,0,0,0,0,0,0
Base flow index,0.2764,0.3218,0.3984,0.4532,0.5571,0.3297
,,,,,,
Parameter Group #3,,,,,,
Date of minimum,0.9,69.5,88,104.5,118.6,0.09563
Date of maximum,159,179.8,207,231.3,251.5,0.1407
,,,,,,
Parameter Group #4,,,,,,
Low pulse count,0,0.75,1,3,4,2.25
Low pulse duration,13.55,21.75,38.75,91.25,111.4,1.794
High pulse count,0.9,1,3,4,6,1
High pulse duration,3.7,9.5,18,50.75,110.6,2.292
,,,,,,
Parameter Group #5,,,,,,
Rise rate,1.132,6.75,9.25,12.75,16.1,0.6486
Fall rate,-6,-5,-4.5,-2.963,-1.45,-0.4527
Number of reversals,11.8,19,46,55.25,68.6,0.788
,,,,,,
EFC Monthly Low Flows,,,,,,
January   Low Flow,138.4,162,190,253,297.2,0.4789
February  Low Flow,127.5,137.6,162.5,189.3,269.5,0.3177
March     Low Flow,122,128,139,172.5,238,0.3201
April     Low Flow,127,128.8,150,188.9,291.2,0.4008
May       Low Flow,134.2,157.1,206.5,279.3,351.2,0.5914
June      Low Flow,189.8,238.8,318,365.6,387.2,0.399
July      Low Flow,172.8,292.5,343.8,398.1,414,0.3072
August    Low Flow,258,310.6,352.8,399.8,416.5,0.2527
September Low Flow,282.7,300.9,343.3,376.5,409.1,0.2203
October   Low Flow,238.8,278,322.5,381.5,412.2,0.3209
November  Low Flow,192.3,248,313.5,372,398.2,0.3955
December  Low Flow,164.8,201,247,321,369,0.4858
,,,,,,
EFC Flow Parameters,,,,,,
Extreme low peak,88,100.1,108,114,117.4,0.1284
Extreme low duration,3.65,9.25,29,51.75,104.6,1.466
Extreme low timing,60.05,82.13,89.5,114.5,131,0.08846
Extreme low freq.,0,0,1,2,2.1,2
High flow peak,455,475,548.5,611,704,0.2479
High flow duration,3,7.75,13.5,27,54.5,1.426
High flow timing,143,198,220,247.8,290,0.1359
High flow frequency,0,0.75,2,4,5.1,1.625
High flow rise rate,9.431,21.66,29.5,45.83,94.33,0.8195
High flow fall rate,-17.74,-16.57,-12.6,-8.188,-5.6,-0.6653
Small Flood peak,807.9,831,906.5,990.4,1191,0.1758
Small Flood duration,23.5,40.38,55.5,125.5,170.4,1.534
Small Flood timing,169.4,180.8,206,215.8,233.5,0.09563
Small Flood freq.,0,0,0,1,1,0
Small Flood riserate,5.377,14.19,32.81,48.52,107.5,1.046
Small Flood fallrate,-25.09,-21.81,-12.9,-8.915,-3.336,-0.9989
Large flood peak,1223,1223,1302,1483,1483,0.1997
Large flood duration,90,90,186,228,228,0.7419
Large flood timing,166,166,188,221,221,0.1503
Large flood freq.,0,0,0,0,0.1,0
Large flood riserate,16.22,16.22,20.25,43.09,43.09,1.327
Large flood fallrate,-28.11,-28.11,-16.73,-5.352,-5.352,-1.36
