Date,Flow,EFC,Desc,Interpolation?
,,,,
1/1/1947,6.83,1.0,low flow,Interpolated Data
1/2/1947,6.83,1.0,low flow,Interpolated Data
1/3/1947,6.83,1.0,low flow,Interpolated Data
1/4/1947,6.83,1.0,low flow,Interpolated Data
1/5/1947,6.83,1.0,low flow,Interpolated Data
1/6/1947,6.83,1.0,low flow,Interpolated Data
1/7/1947,6.83,1.0,low flow,Interpolated Data
1/8/1947,6.83,1.0,low flow,Interpolated Data
1/9/1947,6.83,1.0,low flow,Interpolated Data
1/10/1947,6.83,1.0,low flow,Interpolated Data
1/11/1947,6.83,1.0,low flow,Interpolated Data
1/12/1947,6.83,1.0,low flow,Interpolated Data
1/13/1947,6.83,1.0,low flow,Interpolated Data
1/14/1947,6.83,1.0,low flow,Interpolated Data
1/15/1947,6.83,1.0,low flow,Interpolated Data
1/16/1947,6.83,1.0,low flow,Interpolated Data
1/17/1947,6.83,1.0,low flow,Interpolated Data
1/18/1947,6.83,1.0,low flow,Interpolated Data
1/19/1947,6.83,1.0,low flow,Interpolated Data
1/20/1947,6.83,1.0,low flow,Interpolated Data
1/21/1947,6.83,1.0,low flow,Interpolated Data
1/22/1947,6.83,1.0,low flow,Interpolated Data
1/23/1947,6.83,1.0,low flow,Interpolated Data
1/24/1947,6.83,1.0,low flow,Interpolated Data
1/25/1947,6.83,1.0,low flow,Interpolated Data
1/26/1947,6.83,1.0,low flow,Interpolated Data
1/27/1947,6.83,1.0,low flow,Interpolated Data
1/28/1947,6.83,1.0,low flow,Interpolated Data
1/29/1947,6.83,1.0,low flow,Interpolated Data
1/30/1947,6.83,1.0,low flow,Interpolated Data
1/31/1947,6.83,1.0,low flow,Interpolated Data
2/1/1947,6.83,1.0,low flow,Interpolated Data
2/2/1947,6.83,1.0,low flow,Interpolated Data
2/3/1947,6.83,1.0,low flow,Interpolated Data
2/4/1947,6.83,1.0,low flow,Interpolated Data
2/5/1947,6.83,1.0,low flow,Interpolated Data
2/6/1947,6.83,1.0,low flow,Interpolated Data
2/7/1947,6.83,1.0,low flow,Interpolated Data
2/8/1947,6.83,1.0,low flow,Interpolated Data
2/9/1947,6.83,1.0,low flow,Interpolated Data
2/10/1947,6.83,1.0,low flow,Interpolated Data
2/11/1947,6.83,1.0,low flow,Interpolated Data
2/12/1947,6.83,1.0,low flow,Interpolated Data
2/13/1947,6.83,1.0,low flow,Interpolated Data
2/14/1947,6.83,1.0,low flow,Interpolated Data
2/15/1947,6.83,1.0,low flow,Interpolated Data
2/16/1947,6.83,1.0,low flow,Interpolated Data
2/17/1947,6.83,1.0,low flow,Interpolated Data
2/18/1947,6.83,1.0,low flow,Interpolated Data
2/19/1947,6.83,1.0,low flow,Interpolated Data
2/20/1947,6.83,1.0,low flow,Interpolated Data
2/21/1947,6.83,1.0,low flow,Interpolated Data
2/22/1947,6.83,1.0,low flow,Interpolated Data
2/23/1947,6.83,1.0,low flow,Interpolated Data
2/24/1947,6.83,1.0,low flow,Interpolated Data
2/25/1947,6.83,1.0,low flow,Interpolated Data
2/26/1947,6.83,1.0,low flow,Interpolated Data
2/27/1947,6.83,1.0,low flow,Interpolated Data
2/28/1947,6.83,1.0,low flow,Interpolated Data
3/1/1947,6.83,1.0,low flow,Interpolated Data
3/2/1947,6.83,1.0,low flow,Interpolated Data
3/3/1947,6.83,1.0,low flow,Interpolated Data
3/4/1947,6.83,1.0,low flow,Interpolated Data
3/5/1947,6.83,1.0,low flow,Interpolated Data
3/6/1947,6.83,1.0,low flow,Interpolated Data
3/7/1947,6.83,1.0,low flow,Interpolated Data
3/8/1947,6.83,1.0,low flow,Interpolated Data
3/9/1947,6.83,1.0,low flow,Interpolated Data
3/10/1947,6.83,1.0,low flow,Interpolated Data
3/11/1947,6.83,1.0,low flow,Interpolated Data
3/12/1947,6.83,1.0,low flow,Interpolated Data
3/13/1947,6.83,1.0,low flow,Interpolated Data
3/14/1947,6.83,1.0,low flow,Interpolated Data
3/15/1947,6.83,1.0,low flow,Interpolated Data
3/16/1947,6.83,1.0,low flow,Interpolated Data
3/17/1947,6.83,1.0,low flow,Interpolated Data
3/18/1947,6.83,1.0,low flow,Interpolated Data
3/19/1947,6.83,1.0,low flow,Interpolated Data
3/20/1947,6.83,1.0,low flow,Interpolated Data
3/21/1947,6.83,1.0,low flow,Interpolated Data
3/22/1947,6.83,1.0,low flow,Interpolated Data
3/23/1947,6.83,1.0,low flow,Interpolated Data
3/24/1947,6.83,1.0,low flow,Interpolated Data
3/25/1947,6.83,1.0,low flow,Interpolated Data
3/26/1947,6.83,1.0,low flow,Interpolated Data
3/27/1947,6.83,1.0,low flow,Interpolated Data
3/28/1947,6.83,1.0,low flow,Interpolated Data
3/29/1947,6.83,1.0,low flow,Interpolated Data
3/30/1947,6.83,1.0,low flow,Interpolated Data
3/31/1947,6.83,1.0,low flow,Interpolated Data
4/1/1947,6.83,1.0,low flow,Interpolated Data
4/2/1947,6.83,1.0,low flow,Interpolated Data
4/3/1947,6.83,1.0,low flow,Interpolated Data
4/4/1947,6.83,1.0,low flow,Interpolated Data
4/5/1947,6.83,1.0,low flow,Interpolated Data
4/6/1947,6.83,1.0,low flow,Interpolated Data
4/7/1947,6.83,1.0,low flow,Interpolated Data
4/8/1947,6.83,1.0,low flow,Interpolated Data
4/9/1947,6.83,1.0,low flow,Interpolated Data
4/10/1947,6.83,1.0,low flow,Interpolated Data
4/11/1947,6.83,1.0,low flow,Interpolated Data
4/12/1947,6.83,1.0,low flow,Interpolated Data
4/13/1947,6.83,1.0,low flow,Interpolated Data
4/14/1947,6.83,1.0,low flow,Interpolated Data
4/15/1947,6.83,1.0,low flow,Interpolated Data
4/16/1947,6.83,1.0,low flow,Interpolated Data
4/17/1947,6.83,1.0,low flow,Interpolated Data
4/18/1947,6.83,1.0,low flow,Interpolated Data
4/19/1947,6.83,1.0,low flow,Interpolated Data
4/20/1947,6.83,1.0,low flow,Interpolated Data
4/21/1947,6.83,1.0,low flow,Interpolated Data
4/22/1947,6.83,1.0,low flow,Interpolated Data
4/23/1947,6.83,1.0,low flow,Interpolated Data
4/24/1947,6.83,1.0,low flow,Interpolated Data
4/25/1947,6.83,1.0,low flow,Interpolated Data
4/26/1947,6.83,1.0,low flow,Interpolated Data
4/27/1947,6.83,1.0,low flow,Interpolated Data
4/28/1947,6.83,1.0,low flow,Interpolated Data
4/29/1947,6.83,1.0,low flow,Interpolated Data
4/30/1947,6.83,1.0,low flow,Interpolated Data
5/1/1947,6.83,1.0,low flow,Interpolated Data
5/2/1947,6.83,1.0,low flow,Interpolated Data
