IHA Percentile Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
9433001,,,,,,
,,,,,,
,Period of Analysis: 1947-2019 ( 73 years),,,,,
,,,Period of Analysis,,,
,10%,25%,50%,75%,90%,(75-25)/50
Parameter Group #1,,,,,,
January,0.6028,0.9565,1.32,1.82,2.262,0.6542
February,0.311,0.6948,0.888,1.193,1.57,0.5605
March,0.4098,0.648,0.862,1.2,1.415,0.6404
April,0.6268,0.8448,1.16,1.945,3.052,0.9485
May,1.245,2.05,3.96,7.785,14.8,1.448
June,4.036,7.48,12,16.3,23.39,0.735
July,5.454,10.15,14.6,19.75,28.96,0.6579
August,7.78,9.68,12.2,15.25,21.02,0.4566
September,5.865,7.388,9.28,11.78,16.37,0.4728
October,3.246,4.31,5.79,7.57,9.952,0.563
November,2.002,2.515,3.11,4.438,6.53,0.6182
December,1.18,1.55,2.17,2.99,4.274,0.6636
,,,,,,
Parameter Group #2,,,,,,
1-day minimum,0.1406,0.4345,0.576,0.718,0.9856,0.4922
3-day minimum,0.149,0.4487,0.5967,0.743,0.9949,0.4933
7-day minimum,0.1639,0.4707,0.6274,0.7914,1.01,0.511
30-day minimum,0.2277,0.556,0.7699,1.014,1.227,0.5953
90-day minimum,0.4945,0.754,1.012,1.345,1.552,0.5844
1-day maximum,22.28,32.55,41.4,52.95,64.7,0.4928
3-day maximum,20.96,30.08,38.33,50.92,58.66,0.5435
7-day maximum,18.11,26.11,32.96,44.04,49.25,0.544
30-day maximum,12.84,17.65,22.87,28.43,33.71,0.471
90-day maximum,10.1,13.24,16.82,19.91,24.07,0.3962
Number of zero days,0,0,0,0,0,0
Base flow index,0.02197,0.06592,0.09994,0.1258,0.1481,0.5996
,,,,,,
Parameter Group #3,,,,,,
Date of minimum,1.2,43.5,68,87.5,99.2,0.1202
Date of maximum,154.8,173.5,197,227.5,245.2,0.1475
,,,,,,
Parameter Group #4,,,,,,
Low pulse count,2,3,5,6,8.6,0.6
Low pulse duration,3.65,5,9,16,33.1,1.222
High pulse count,3,4.5,7,9,10,0.6429
High pulse duration,2,2.5,4,8,15.4,1.375
,,,,,,
Parameter Group #5,,,,,,
Rise rate,0.08,0.305,0.4872,0.6625,0.892,0.7338
Fall rate,-0.384,-0.2975,-0.2105,-0.161,-0.102,-0.6485
Number of reversals,59.6,76.5,99,114,120,0.3788
,,,,,,
EFC Monthly Low Flows,,,,,,
January   Low Flow,0.9409,1.093,1.41,1.853,2.318,0.539
February  Low Flow,0.8428,0.9023,1.04,1.32,1.656,0.4017
March     Low Flow,0.8421,0.9043,1.04,1.285,1.72,0.3665
April     Low Flow,0.9113,1.053,1.418,2.438,3.139,0.9776
May       Low Flow,1.413,1.85,2.9,5.095,6.601,1.119
June      Low Flow,2.952,4.043,6.7,8.168,8.828,0.6157
July      Low Flow,4.066,5.59,7.79,8.525,9.253,0.3768
August    Low Flow,5.993,7.245,8.07,8.826,9.346,0.1959
September Low Flow,5.468,6.304,7.368,8.355,8.837,0.2784
October   Low Flow,3.222,4.273,5.623,6.8,8.01,0.4495
November  Low Flow,1.999,2.51,3.083,4.251,6.215,0.5646
December  Low Flow,1.255,1.563,2.135,2.921,3.988,0.6364
,,,,,,
EFC Flow Parameters,,,,,,
Extreme low peak,0.3475,0.5628,0.654,0.7,0.7267,0.2099
Extreme low duration,2,3,6.25,12.75,30.3,1.56
Extreme low timing,39.2,57.13,72.25,90,104.1,0.08982
Extreme low freq.,0,1,3,5,6.6,1.333
High flow peak,11.7,12.6,14.1,16.98,22.78,0.3103
High flow duration,1.65,2,3,5.875,16.55,1.292
High flow timing,166.9,187.3,213.8,241.8,277.5,0.1489
High flow frequency,3,4,6,8.5,10,0.75
High flow rise rate,1.932,2.463,3.605,4.79,5.887,0.6455
High flow fall rate,-2.92,-2.074,-1.714,-1.273,-0.929,-0.4674
Small Flood peak,44.12,46.28,49.9,58.28,62.37,0.2405
Small Flood duration,25.35,36.75,55,86.25,104.7,0.9
Small Flood timing,150.4,165.4,188.3,214.3,242.5,0.1335
Small Flood freq.,0,0,0,1,1,0
Small Flood riserate,0.7401,1.269,2.182,4.235,9.749,1.359
Small Flood fallrate,-3.442,-2.436,-1.571,-0.8275,-0.5117,-1.024
Large flood peak,65.5,65.9,67.3,81.7,82.3,0.2348
Large flood duration,17,29,51,51,126,0.4314
Large flood timing,143,156,184,207,287,0.1393
Large flood freq.,0,0,0,0,0.6,0
Large flood riserate,1.588,2.43,3.898,9.591,26.26,1.837
Large flood fallrate,-5.706,-4.585,-1.701,-1.474,-0.6586,-1.829
