IHA Annual Summary Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9434001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,January,February,March,April,May,June,July,August,September,October,November,December,1-day min,3-day min,7-day min,30-day min,90-day min,1-day max,3-day max,7-day max,30-day max,90-day max,Zero days,Base flow,Date min,Date max,Lo pulse #,Lo pulse L,Hi pulse #,Hi pulse L,Rise rate,Fall rate,Reversals,Jan lowf,Feb lowf,Mar  lowf,Apr  lowf,May lowf,June lowf,July lowf,Aug lowf,Sept lowf,Oct lowf,Nov lowf,Dec lowf,Xlow1 peak,Xlow1 dur,Xlow1 time,Xlow1 freq,High1 peak,High1 dur,High1 time,High1 freq,High1 rise,High1 fall,Sfld1 peak,Sfld1 dur,Sfld1 time,Sfld1 freq,Sfld1 rise,Sfld1 fall,Lfld1 peak,Lfld1 dur,Lfld1 time,Lfld1 freq,Lfld1 rise,Lfld1 fall
1947,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,30.2,14.85,9.7,5.94,6.087,6.487,9.188,18.06,39.1,36.3,36.3,36.3,36.3,0,0.204,365,289,0,,0,,1.1,-0.5,17,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,30.2,14.85,9.7,,,,0,,,,0,,,,,,0,,,,,,0,,
1948,6.15,3.9,3.66,5.668,11.6,55,116,64.9,66.4,44.83,17.35,9.74,2.85,3.2,3.344,3.694,4.155,216,203.3,163,124,90.15,0,0.09301,73,207,4,5.5,4,18.5,0.8,-1.15,109,6.15,3.9,3.685,5.668,11.6,46,,,44.2,34.7,17.35,9.74,2.85,1,73,1,65.1,10,160,3,7.85,-4.3,216,83,207,1,4.714,-3.515,,,,0,,
1949,7.3,8.665,10.5,9.895,62.4,186,52.4,37.3,21.25,11.97,7.565,6.66,5.04,5.25,5.871,6.66,8.983,322,312.7,251.7,203.5,124.5,0,0.1411,62,168,2,3,5,2,1.6,-1.1,61,7.3,8.665,10.25,9.895,40,,43.9,37.3,21.25,11.97,7.565,6.66,,,,0,51.25,1.5,166,4,8.125,-8.84,322,61,168,1,9.26,-8.591,,,,0,,
1965,60.9,60.9,60.9,60.9,60.9,56.35,79.7,108,37.5,22.4,15.6,30.5,12.1,12.13,12.59,16.17,27.05,172,171,158.3,116.1,85.91,0,0.2254,325,222,0,,7,4,3.15,-1.8,62,,,,,38.8,34,,48.4,33.2,22.4,15.05,28.5,,,,0,57.25,3,251.5,6,4.477,-5.984,,,,0,,,,,,0,,
1966,12.1,6.81,6.37,8.265,13.8,89.3,96.5,46.9,41.8,20.8,13.05,16.6,4.58,4.693,5.121,6.006,7.589,158,132.7,128.4,106.8,81.07,0,0.1584,93,190,3,6,4,10.5,2.35,-0.7,82,12.1,6.81,6.37,8.265,13.55,29.55,,39.2,33.6,20.8,13.05,16.6,,,,0,101.5,10.5,212,4,18.3,-6.073,,,,0,,,,,,0,,
1967,11.8,7.73,5.86,5.265,54.8,59.5,64.33,54.17,79.15,39.7,17.7,7.47,4.06,4.7,4.837,5.259,6.325,214,194,184.4,107.1,76.13,0,0.138,358,246,8,5.5,5,19,1.45,-0.5,77,11.8,7.73,5.86,5.265,5.625,40.65,,42.6,42.8,38.9,17.7,7.47,,,,0,81.6,11,198.5,4,9.863,-6.141,214,36,246,1,13.08,-6.929,,,,0,,
1968,1.8,2.33,3.02,4.826,8.537,12.25,30,45.2,40.55,30.9,16.85,12.5,1.6,1.603,1.634,1.765,2.551,87.2,81.57,75.83,52.51,40.57,0,0.09144,12,230,2,55.5,4,3,0.1217,-0.8,67,5.18,3.28,3.385,4.826,8.537,12.25,30,26,37.65,30.9,16.85,12.5,2.035,5,51,6,58.55,3,241,4,15.33,-5.6,,,,0,,,,,,0,,
1969,12.5,5.77,3.2,6.45,25.7,68.65,145,128,41.25,42.1,17.65,9.69,2.7,2.707,2.813,3.123,5.63,259,248,204.3,163.5,113,0,0.0662,97,226,3,8,5,3,5,-1.3,66,12.5,5.77,3.2,7.21,25.7,37.15,,,40.45,39.75,17.65,9.69,2.7,4,97,1,60.95,2.5,271,4,15.4,-7.95,259,87,226,1,3.116,-10.61,,,,0,,
